2022-10-25 16:31:09,400 | INFO | Threshold of 18.00 provides Large bucket size: 18, Small Bucket size: 46, Extra Bucket size: 9

2022-10-25 16:31:09,408 | INFO | SVC with RBF Kernel Results:

2022-10-25 16:31:09,409 | INFO | GridSearchCV Starting
2022-10-25 16:31:15,626 | INFO | Best parameter set: {'C': 61, 'break_ties': False, 'class_weight': None, 'gamma': 0.001}
2022-10-25 16:31:15,626 | INFO | -------------------------

2022-10-25 16:31:15,627 | INFO | Train MCC Score: 0.916.  StDev for Train MCC: 0.016.  Test MCC Score: 0.375.  StDev for Test MCC: 0.152.

2022-10-25 16:31:15,627 | INFO | Training:
2022-10-25 16:31:15,631 | INFO | Training Finished.
2022-10-25 16:31:15,638 | INFO | Training Accuracy: 0.966, Training MCC: 0.935, Validation Accuracy: 0.600, Validation MCC: 0.204, Fold: 1
2022-10-25 16:31:15,638 | INFO | Training:
2022-10-25 16:31:15,642 | INFO | Training Finished.
2022-10-25 16:31:15,648 | INFO | Training Accuracy: 0.966, Training MCC: 0.934, Validation Accuracy: 0.600, Validation MCC: 0.263, Fold: 2
2022-10-25 16:31:15,648 | INFO | Training:
2022-10-25 16:31:15,652 | INFO | Training Finished.
2022-10-25 16:31:15,658 | INFO | Training Accuracy: 0.966, Training MCC: 0.935, Validation Accuracy: 0.600, Validation MCC: 0.241, Fold: 3
2022-10-25 16:31:15,659 | INFO | Training:
2022-10-25 16:31:15,663 | INFO | Training Finished.
2022-10-25 16:31:15,670 | INFO | Training Accuracy: 0.966, Training MCC: 0.935, Validation Accuracy: 0.667, Validation MCC: 0.318, Fold: 4
2022-10-25 16:31:15,670 | INFO | Training:
2022-10-25 16:31:15,674 | INFO | Training Finished.
2022-10-25 16:31:15,681 | INFO | Training Accuracy: 0.948, Training MCC: 0.901, Validation Accuracy: 0.667, Validation MCC: 0.311, Fold: 5
2022-10-25 16:31:15,681 | INFO | AVG Training Accuracy: 0.962, AVG Training MCC: 0.928, AVG Validation Accuracy: 0.627, AVG Validation MCC: 0.267

2022-10-25 16:31:15,681 | INFO | Forward Selection Starting
2022-10-25 17:29:06,363 | INFO | Forward Selection Finished
2022-10-25 17:29:06,364 | INFO | SFS only results:

2022-10-25 17:29:06,364 | INFO | GridSearchCV Starting
2022-10-25 17:29:08,726 | INFO | Best parameter set: {'C': 61, 'break_ties': False, 'class_weight': None, 'gamma': 0.001}
2022-10-25 17:29:08,726 | INFO | -------------------------

2022-10-25 17:29:08,726 | INFO | Train MCC Score: 0.858.  StDev for Train MCC: 0.014.  Test MCC Score: 0.396.  StDev for Test MCC: 0.124.

2022-10-25 17:29:08,727 | INFO | Training:
2022-10-25 17:29:08,729 | INFO | Training Finished.
2022-10-25 17:29:08,734 | INFO | Training Accuracy: 0.897, Training MCC: 0.807, Validation Accuracy: 0.733, Validation MCC: 0.498, Fold: 1
2022-10-25 17:29:08,734 | INFO | Training:
2022-10-25 17:29:08,736 | INFO | Training Finished.
2022-10-25 17:29:08,741 | INFO | Training Accuracy: 0.948, Training MCC: 0.901, Validation Accuracy: 0.667, Validation MCC: 0.339, Fold: 2
2022-10-25 17:29:08,741 | INFO | Training:
2022-10-25 17:29:08,744 | INFO | Training Finished.
2022-10-25 17:29:08,748 | INFO | Training Accuracy: 0.931, Training MCC: 0.866, Validation Accuracy: 0.667, Validation MCC: 0.330, Fold: 3
2022-10-25 17:29:08,748 | INFO | Training:
2022-10-25 17:29:08,750 | INFO | Training Finished.
2022-10-25 17:29:08,755 | INFO | Training Accuracy: 0.914, Training MCC: 0.839, Validation Accuracy: 0.600, Validation MCC: 0.000, Fold: 4
2022-10-25 17:29:08,755 | INFO | Training:
2022-10-25 17:29:08,757 | INFO | Training Finished.
2022-10-25 17:29:08,761 | INFO | Training Accuracy: 0.914, Training MCC: 0.836, Validation Accuracy: 0.667, Validation MCC: 0.311, Fold: 5
2022-10-25 17:29:08,761 | INFO | AVG Training Accuracy: 0.921, AVG Training MCC: 0.850, AVG Validation Accuracy: 0.667, AVG Validation MCC: 0.296

2022-10-25 17:29:08,764 | INFO | Results after PCA:
2022-10-25 17:29:08,764 | INFO | ------------------

2022-10-25 17:29:08,764 | INFO | PCA Starting
2022-10-25 17:29:08,797 | INFO | Selecting 19 principal components making up 75% of the variance.

2022-10-25 17:29:08,798 | INFO | PCA Finished
2022-10-25 17:29:08,798 | INFO | GridSearchCV Starting
2022-10-25 17:29:09,694 | INFO | Best parameter set: {'C': 11, 'break_ties': False, 'class_weight': None, 'gamma': 0.01}
2022-10-25 17:29:09,694 | INFO | -------------------------

2022-10-25 17:29:09,694 | INFO | Train MCC Score: 0.728.  StDev for Train MCC: 0.018.  Test MCC Score: 0.369.  StDev for Test MCC: 0.168.

2022-10-25 17:29:09,694 | INFO | Training:
2022-10-25 17:29:09,695 | INFO | Training Finished.
2022-10-25 17:29:09,697 | INFO | Training Accuracy: 0.828, Training MCC: 0.674, Validation Accuracy: 0.733, Validation MCC: 0.498, Fold: 1
2022-10-25 17:29:09,697 | INFO | Training:
2022-10-25 17:29:09,698 | INFO | Training Finished.
