,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_break_ties,param_class_weight,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
40,0.007306099,0.001123639,0.006205177,0.000245106,10,TRUE,,scale,"{'C': 10, 'break_ties': True, 'class_weight': None, 'gamma': 'scale'}",0.19572034,0.274193548,0.362933093,0.534667086,0.343621597,0.342227133,0.112744513,26,0.968636604,0.937757598,0.937757598,0.940041084,0.96886225,0.950611027,0.014833567
4,0.006305408,0.000245145,0.007906675,0.002598419,5,FALSE,,scale,"{'C': 5, 'break_ties': False, 'class_weight': None, 'gamma': 'scale'}",0.19572034,0.274193548,0.481646684,0.534667086,0.343621597,0.365969851,0.126291026,19,0.968636604,0.937757598,0.937757598,0.940041084,0.96886225,0.950611027,0.014833567
28,0.006746769,0.000388175,0.006305408,0.000400281,10,FALSE,,scale,"{'C': 10, 'break_ties': False, 'class_weight': None, 'gamma': 'scale'}",0.19572034,0.274193548,0.481646684,0.534667086,0.343621597,0.365969851,0.126291026,19,0.968636604,0.937757598,0.937757598,0.940041084,0.96886225,0.950611027,0.014833567
16,0.006405544,0.000374534,0.006112671,0.000132669,5,TRUE,,scale,"{'C': 5, 'break_ties': True, 'class_weight': None, 'gamma': 'scale'}",0.19572034,0.274193548,0.481646684,0.534667086,0.343621597,0.365969851,0.126291026,19,0.968636604,0.937757598,0.937757598,0.940041084,0.96886225,0.950611027,0.014833567
98,0.00640583,0.000374674,0.013227987,0.010740381,250,FALSE,,0.001,"{'C': 250, 'break_ties': False, 'class_weight': None, 'gamma': 0.001}",0.19572034,0.274193548,0.362933093,0.534667086,0.486512773,0.370805368,0.12671973,15,0.968636604,0.937757598,0.937757598,0.940041084,0.96886225,0.950611027,0.014833567
77,0.010913849,0.006423959,0.007706738,0.002715353,100,FALSE,,auto,"{'C': 100, 'break_ties': False, 'class_weight': None, 'gamma': 'auto'}",0.19572034,0.274193548,0.362933093,0.534667086,0.486512773,0.370805368,0.12671973,15,0.968636604,0.937757598,0.937757598,0.940041084,0.96886225,0.950611027,0.014833567
89,0.006605673,0.000200248,0.008206987,0.004158182,100,TRUE,,auto,"{'C': 100, 'break_ties': True, 'class_weight': None, 'gamma': 'auto'}",0.19572034,0.274193548,0.362933093,0.534667086,0.486512773,0.370805368,0.12671973,15,0.968636604,0.937757598,0.937757598,0.940041084,0.96886225,0.950611027,0.014833567
110,0.008607292,0.003058688,0.00690608,0.001068515,250,TRUE,,0.001,"{'C': 250, 'break_ties': True, 'class_weight': None, 'gamma': 0.001}",0.19572034,0.274193548,0.362933093,0.534667086,0.486512773,0.370805368,0.12671973,15,0.968636604,0.937757598,0.937757598,0.940041084,0.96886225,0.950611027,0.014833567
65,0.011409903,0.007631392,0.008507395,0.00277741,50,TRUE,,auto,"{'C': 50, 'break_ties': True, 'class_weight': None, 'gamma': 'auto'}",0.19572034,0.274193548,0.481646684,0.534667086,0.486512773,0.394548086,0.133936321,7,0.968636604,0.937757598,0.905946247,0.909477013,0.96886225,0.938135942,0.027320506
37,0.006906033,0.00058356,0.006405258,0.000583666,10,TRUE,,0.01,"{'C': 10, 'break_ties': True, 'class_weight': None, 'gamma': 0.01}",0.19572034,0.274193548,0.481646684,0.534667086,0.486512773,0.394548086,0.133936321,7,0.968636604,0.937757598,0.937757598,0.909477013,0.96886225,0.944498213,0.022332149
