,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
3152,0.026322508,0.003402873,0.0089077,0.003586282,0.1,entropy,7,0.3,9,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 7, 'max_features': 0.3, 'n_estimators': 9}",0.329956009,0.359210604,0.388549193,0.383990859,0.366470456,0.365635424,0.020866045,930,0.936408955,0.740774094,0.841780144,0.877723754,0.905367127,0.860410815,0.06746343
2774,0.034529686,0.000707797,0.007106018,0.000200057,0.1,entropy,3,0.3,15,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 0.3, 'n_estimators': 15}",0.329956009,0.422081145,0.388549193,0.349927106,0.396412484,0.377385187,0.033129669,750,0.937757598,0.877228829,0.905167112,0.939373463,0.937469091,0.919399219,0.024671504
2670,0.019416618,0.001986512,0.00620532,0.000245184,0.1,entropy,2,0.3,7,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 2, 'max_features': 0.3, 'n_estimators': 7}",0.498135481,0.388549193,0.388549193,0.383990859,0.366470456,0.405139037,0.047204426,378,0.8393902,0.707926139,0.840684537,0.660900793,0.80968024,0.771716382,0.073657174
1075,0.031527042,0.00109641,0.007906914,0.000583764,0,entropy,4,sqrt,20,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 20}",0.329634257,0.34271014,0.335054817,0.349927106,0.46483484,0.364432232,0.050669248,955,0.968636604,0.907306618,0.907306618,0.969781437,0.968776034,0.944361462,0.030257732
845,0.017815447,0.003658119,0.006405306,0.000200248,0,gini,10,0.3,6,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.3, 'n_estimators': 6}",0.498135481,0.388549193,0.34271014,0.383990859,0.400891863,0.402855507,0.051497845,403,0.839455325,0.904685638,0.968546067,0.969781437,0.938177946,0.924129283,0.048584091
878,0.023620224,0.000800955,0.007306337,0.000400484,0,entropy,2,sqrt,15,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 2, 'max_features': 'sqrt', 'n_estimators': 15}",0.339422117,0.329956009,0.476250476,0.349927106,0.338648106,0.366840763,0.055070228,903,0.907306618,0.755045371,0.64404228,0.736319471,0.746000214,0.757742791,0.084736377
118,0.031627035,0.000374585,0.007906771,0.000199962,0,gini,3,sqrt,23,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 23}",0.476250476,0.478649738,0.362933093,0.534667086,0.477252218,0.465950522,0.05608858,58,0.841780144,0.937757598,0.905946247,0.879963391,0.906569823,0.894403441,0.032057968
1108,0.02672286,0.001807331,0.006305504,0.000245223,0,entropy,4,1,5,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 4, 'max_features': 1.0, 'n_estimators': 5}",0.329634257,0.359210604,0.478649738,0.357142857,0.471404521,0.399208396,0.062822131,458,0.906118642,0.905167112,0.873007669,0.908096356,0.905895306,0.899657017,0.013359942
2822,0.030126047,0.007171325,0.008006763,0.001518037,0.1,entropy,4,log2,15,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 15}",0.317500318,0.329956009,0.476250476,0.376403705,0.302407368,0.360503575,0.062940865,1032,0.877228829,0.844860951,0.847470445,0.756677425,0.744834539,0.814214438,0.053179061
4410,0.03963418,0.001656508,0.007306242,0.000245106,0.2,entropy,2,0.3,19,"{'ccp_alpha': 0.2, 'criterion': 'entropy', 'max_depth': 2, 'max_features': 0.3, 'n_estimators': 19}",0.335054817,0.335054817,0.478649738,0.349927106,0.468705009,0.393478297,0.065782285,524,0.810214245,0.75157821,0.639619102,0.79062721,0.77756751,0.753921255,0.060242585
1586,0.018315649,0.002733847,0.011910152,0.007289162,0,entropy,9,1,3,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 1.0, 'n_estimators': 3}",0.492552055,0.373364328,0.373364328,0.477252218,0.316932846,0.406693155,0.067273868,352,0.873500545,0.907300903,0.707700286,0.789183946,0.8411015,0.823757436,0.069884609
2726,0.025521946,0.001141159,0.00780673,0.000980679,0.1,entropy,3,log2,15,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 15}",0.498135481,0.329956009,0.335054817,0.349927106,0.302407368,0.363096156,0.069248478,975,0.844860951,0.718051299,0.707777523,0.79062721,0.746000214,0.761463439,0.050619311
2729,0.029625559,0.001656842,0.009107876,0.002598407,0.1,entropy,3,log2,18,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 18}",0.329956009,0.311334676,0.500647622,0.349927106,0.326055658,0.363584214,0.069630679,966,0.847470445,0.75157821,0.809135108,0.79062721,0.743030736,0.788368342,0.038310395
