,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_gamma,param_lambda,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
13290,0.10602774620056152,0.004438401714741923,0.010809230804443359,0.0004002690625900078,0.4,2,1,8,22,0.5,"{'alpha': 0.4, 'gamma': 2, 'lambda': 1, 'max_depth': 8, 'n_estimators': 22, 'subsample': 0.5}",0.31750031750047625,0.4786497381671772,0.492552054996952,0.38399085873473177,0.4008918628686366,0.4147169664535948,0.06439255287048834,2403,0.8407346730029559,0.8719793117036336,0.7730738790126211,0.8145119717144221,0.8081305908664367,0.8216860852600139,0.0331379638806254
13244,0.11549906730651856,0.006197247915653163,0.01100935935974121,0.000775340805772695,0.4,2,1,7,23,0.5,"{'alpha': 0.4, 'gamma': 2, 'lambda': 1, 'max_depth': 7, 'n_estimators': 23, 'subsample': 0.5}",0.31750031750047625,0.4786497381671772,0.492552054996952,0.38399085873473177,0.4008918628686366,0.4147169664535948,0.06439255287048834,2403,0.8402311770388523,0.8719793117036336,0.7730738790126211,0.8145119717144221,0.7750964471065862,0.8149785573152231,0.038035728688209515
13388,0.1075922966003418,0.0028483400139851993,0.011009502410888671,0.0004477676463316685,0.4,2,1,10,23,0.5,"{'alpha': 0.4, 'gamma': 2, 'lambda': 1, 'max_depth': 10, 'n_estimators': 23, 'subsample': 0.5}",0.31750031750047625,0.4786497381671772,0.492552054996952,0.38399085873473177,0.4008918628686366,0.4147169664535948,0.06439255287048834,2403,0.8402311770388523,0.8719793117036336,0.7730738790126211,0.8145119717144221,0.7750964471065862,0.8149785573152231,0.038035728688209515
13386,0.10669140815734864,0.00340009032873178,0.010809326171875,0.0004004956001411572,0.4,2,1,10,22,0.5,"{'alpha': 0.4, 'gamma': 2, 'lambda': 1, 'max_depth': 10, 'n_estimators': 22, 'subsample': 0.5}",0.31750031750047625,0.4786497381671772,0.492552054996952,0.38399085873473177,0.4008918628686366,0.4147169664535948,0.06439255287048834,2403,0.8407346730029559,0.8719793117036336,0.7730738790126211,0.8145119717144221,0.8081305908664367,0.8216860852600139,0.0331379638806254
13194,0.10719199180603027,0.005214050746526956,0.01130990982055664,0.0008130786590406964,0.4,2,1,6,22,0.5,"{'alpha': 0.4, 'gamma': 2, 'lambda': 1, 'max_depth': 6, 'n_estimators': 22, 'subsample': 0.5}",0.31750031750047625,0.4786497381671772,0.492552054996952,0.38399085873473177,0.4008918628686366,0.4147169664535948,0.06439255287048834,2403,0.8407346730029559,0.8719793117036336,0.7730738790126211,0.8145119717144221,0.8081305908664367,0.8216860852600139,0.0331379638806254
13196,0.11379766464233398,0.005376769822527317,0.012110376358032226,0.002224475238922155,0.4,2,1,6,23,0.5,"{'alpha': 0.4, 'gamma': 2, 'lambda': 1, 'max_depth': 6, 'n_estimators': 23, 'subsample': 0.5}",0.31750031750047625,0.4786497381671772,0.492552054996952,0.38399085873473177,0.4008918628686366,0.4147169664535948,0.06439255287048834,2403,0.8402311770388523,0.8719793117036336,0.7730738790126211,0.8145119717144221,0.7750964471065862,0.8149785573152231,0.038035728688209515
13242,0.10699186325073243,0.0033999611888187132,0.012610864639282227,0.00278444284363373,0.4,2,1,7,22,0.5,"{'alpha': 0.4, 'gamma': 2, 'lambda': 1, 'max_depth': 7, 'n_estimators': 22, 'subsample': 0.5}",0.31750031750047625,0.4786497381671772,0.492552054996952,0.38399085873473177,0.4008918628686366,0.4147169664535948,0.06439255287048834,2403,0.8407346730029559,0.8719793117036336,0.7730738790126211,0.8145119717144221,0.8081305908664367,0.8216860852600139,0.0331379638806254
13292,0.11119537353515625,0.003280202541923106,0.010809230804443359,0.000510426112512141,0.4,2,1,8,23,0.5,"{'alpha': 0.4, 'gamma': 2, 'lambda': 1, 'max_depth': 8, 'n_estimators': 23, 'subsample': 0.5}",0.31750031750047625,0.4786497381671772,0.492552054996952,0.38399085873473177,0.4008918628686366,0.4147169664535948,0.06439255287048834,2403,0.8402311770388523,0.8719793117036336,0.7730738790126211,0.8145119717144221,0.7750964471065862,0.8149785573152231,0.038035728688209515
13098,0.10579061508178711,0.004133814080144172,0.011209583282470703,0.0007490355424925907,0.4,2,1,4,22,0.5,"{'alpha': 0.4, 'gamma': 2, 'lambda': 1, 'max_depth': 4, 'n_estimators': 22, 'subsample': 0.5}",0.31750031750047625,0.4786497381671772,0.492552054996952,0.38399085873473177,0.4008918628686366,0.4147169664535948,0.06439255287048834,2403,0.8407346730029559,0.8719793117036336,0.7730738790126211,0.8145119717144221,0.8081305908664367,0.8216860852600139,0.0331379638806254
13050,0.10929384231567382,0.0025042420707373425,0.01030869483947754,0.0002452427510974719,0.4,2,1,3,22,0.5,"{'alpha': 0.4, 'gamma': 2, 'lambda': 1, 'max_depth': 3, 'n_estimators': 22, 'subsample': 0.5}",0.31750031750047625,0.4786497381671772,0.492552054996952,0.38399085873473177,0.4008918628686366,0.4147169664535948,0.06439255287048834,2403,0.8407346730029559,0.8719793117036336,0.7730738790126211,0.8145119717144221,0.8081305908664367,0.8216860852600139,0.0331379638806254
