,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_leaf_size,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1194,0.000500345230102539,2.86102294921875e-07,0.023920679092407228,0.001201224340100742,27,3,2,uniform,"{'leaf_size': 27, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.08248900219951123,0.3427101402346148,0.5047524566010766,0.38635623073303615,0.3137254901960784,0.32600666399286343,0.13807448246113543,91,0.7379882070920386,0.6257858626534624,0.697234878848411,0.748745191944612,0.675067074904262,0.6969642430885571,0.044520003024620766
6,0.0005005359649658203,2.4314019744838644e-07,0.03983397483825683,0.020385895333943527,5,3,2,uniform,"{'leaf_size': 5, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.08248900219951123,0.3427101402346148,0.5047524566010766,0.38635623073303615,0.3137254901960784,0.32600666399286343,0.13807448246113543,91,0.7379882070920386,0.6257858626534624,0.697234878848411,0.748745191944612,0.675067074904262,0.6969642430885571,0.044520003024620766
1410,0.00050048828125,1.784161275279017e-07,0.02552189826965332,0.00331958332857769,31,3,2,uniform,"{'leaf_size': 31, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.08248900219951123,0.3427101402346148,0.5047524566010766,0.38635623073303615,0.3137254901960784,0.32600666399286343,0.13807448246113543,91,0.7379882070920386,0.6257858626534624,0.697234878848411,0.748745191944612,0.675067074904262,0.6969642430885571,0.044520003024620766
438,0.000500345230102539,3.8738433859996607e-07,0.023720502853393555,0.0002453792155385772,13,3,2,uniform,"{'leaf_size': 13, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.08248900219951123,0.3427101402346148,0.5047524566010766,0.38635623073303615,0.3137254901960784,0.32600666399286343,0.13807448246113543,91,0.7379882070920386,0.6257858626534624,0.697234878848411,0.748745191944612,0.675067074904262,0.6969642430885571,0.044520003024620766
1734,0.000500345230102539,1.1680077279964342e-07,0.023920774459838867,0.0013201770690720507,37,3,2,uniform,"{'leaf_size': 37, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.08248900219951123,0.3427101402346148,0.5047524566010766,0.38635623073303615,0.3137254901960784,0.32600666399286343,0.13807448246113543,91,0.7379882070920386,0.6257858626534624,0.697234878848411,0.748745191944612,0.675067074904262,0.6969642430885571,0.044520003024620766
114,0.0005003929138183594,1.784161275279017e-07,0.024220705032348633,0.0014365214936822204,7,3,2,uniform,"{'leaf_size': 7, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.08248900219951123,0.3427101402346148,0.5047524566010766,0.38635623073303615,0.3137254901960784,0.32600666399286343,0.13807448246113543,91,0.7379882070920386,0.6257858626534624,0.697234878848411,0.748745191944612,0.675067074904262,0.6969642430885571,0.044520003024620766
978,0.0005005359649658203,1.1680077279964342e-07,0.02432093620300293,0.0006789712844205653,23,3,2,uniform,"{'leaf_size': 23, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.08248900219951123,0.3427101402346148,0.5047524566010766,0.38635623073303615,0.3137254901960784,0.32600666399286343,0.13807448246113543,91,0.7379882070920386,0.6257858626534624,0.697234878848411,0.748745191944612,0.675067074904262,0.6969642430885571,0.044520003024620766
870,0.0005003929138183594,1.784161275279017e-07,0.023420190811157225,0.00037438078054310433,21,3,2,uniform,"{'leaf_size': 21, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.08248900219951123,0.3427101402346148,0.5047524566010766,0.38635623073303615,0.3137254901960784,0.32600666399286343,0.13807448246113543,91,0.7379882070920386,0.6257858626534624,0.697234878848411,0.748745191944612,0.675067074904262,0.6969642430885571,0.044520003024620766
1518,0.0005004405975341797,1.5078914929239175e-07,0.024521064758300782,0.0010964539482046928,33,3,2,uniform,"{'leaf_size': 33, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.08248900219951123,0.3427101402346148,0.5047524566010766,0.38635623073303615,0.3137254901960784,0.32600666399286343,0.13807448246113543,91,0.7379882070920386,0.6257858626534624,0.697234878848411,0.748745191944612,0.675067074904262,0.6969642430885571,0.044520003024620766
1626,0.0004002571105957031,0.00020012869731506297,0.023520278930664062,0.0005479440417530211,35,3,2,uniform,"{'leaf_size': 35, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.08248900219951123,0.3427101402346148,0.5047524566010766,0.38635623073303615,0.3137254901960784,0.32600666399286343,0.13807448246113543,91,0.7379882070920386,0.6257858626534624,0.697234878848411,0.748745191944612,0.675067074904262,0.6969642430885571,0.044520003024620766
1302,0.0005004405975341797,0.0,0.024220895767211915,0.0014366776402189052,29,3,2,uniform,"{'leaf_size': 29, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.08248900219951123,0.3427101402346148,0.5047524566010766,0.38635623073303615,0.3137254901960784,0.32600666399286343,0.13807448246113543,91,0.7379882070920386,0.6257858626534624,0.697234878848411,0.748745191944612,0.675067074904262,0.6969642430885571,0.044520003024620766
