,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_leaf_size,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
446,0.0005005359649658203,1.1680077279964342e-07,0.02382040023803711,0.0009283127347563011,13,7,2,uniform,"{'leaf_size': 13, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.4841503155153184,0.6788442333021307,0.7698973538621048,1.0,1.0,0.7865783805359108,0.19720304914099615,1,0.7451732291878022,0.7063927719281352,0.7061910313252907,0.5955220343803177,0.7409287517387132,0.6988415637120517,0.05422898705083868
1634,0.00050048828125,9.536743164062499e-08,0.023620080947875977,0.0003744955123957302,35,7,2,uniform,"{'leaf_size': 35, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.4841503155153184,0.6788442333021307,0.7698973538621048,1.0,1.0,0.7865783805359108,0.19720304914099615,1,0.7451732291878022,0.7063927719281352,0.7061910313252907,0.5955220343803177,0.7409287517387132,0.6988415637120517,0.05422898705083868
338,0.0005003929138183594,1.784161275279017e-07,0.02331995964050293,0.0002452818546267068,11,7,2,uniform,"{'leaf_size': 11, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.4841503155153184,0.6788442333021307,0.7698973538621048,1.0,1.0,0.7865783805359108,0.19720304914099615,1,0.7451732291878022,0.7063927719281352,0.7061910313252907,0.5955220343803177,0.7409287517387132,0.6988415637120517,0.05422898705083868
14,0.0005004405975341797,1.5078914929239175e-07,0.024821138381958006,0.0026214317847545647,5,7,2,uniform,"{'leaf_size': 5, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.4841503155153184,0.6788442333021307,0.7698973538621048,1.0,1.0,0.7865783805359108,0.19720304914099615,1,0.7451732291878022,0.7063927719281352,0.7061910313252907,0.5955220343803177,0.7409287517387132,0.6988415637120517,0.05422898705083868
1094,0.0005003929138183594,1.784161275279017e-07,0.024220991134643554,0.0006789994103809761,25,7,2,uniform,"{'leaf_size': 25, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.4841503155153184,0.6788442333021307,0.7698973538621048,1.0,1.0,0.7865783805359108,0.19720304914099615,1,0.7451732291878022,0.7063927719281352,0.7061910313252907,0.5955220343803177,0.7409287517387132,0.6988415637120517,0.05422898705083868
554,0.0006004810333251953,0.00020008092840246626,0.02532186508178711,0.0022955045424469752,15,7,2,uniform,"{'leaf_size': 15, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.4841503155153184,0.6788442333021307,0.7698973538621048,1.0,1.0,0.7865783805359108,0.19720304914099615,1,0.7451732291878022,0.7063927719281352,0.7061910313252907,0.5955220343803177,0.7409287517387132,0.6988415637120517,0.05422898705083868
986,0.0005004405975341797,1.5078914929239175e-07,0.02572183609008789,0.002113526736268107,23,7,2,uniform,"{'leaf_size': 23, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.4841503155153184,0.6788442333021307,0.7698973538621048,1.0,1.0,0.7865783805359108,0.19720304914099615,1,0.7451732291878022,0.7063927719281352,0.7061910313252907,0.5955220343803177,0.7409287517387132,0.6988415637120517,0.05422898705083868
1526,0.0005004405975341797,0.0,0.02652277946472168,0.0015503892087843018,33,7,2,uniform,"{'leaf_size': 33, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.4841503155153184,0.6788442333021307,0.7698973538621048,1.0,1.0,0.7865783805359108,0.19720304914099615,1,0.7451732291878022,0.7063927719281352,0.7061910313252907,0.5955220343803177,0.7409287517387132,0.6988415637120517,0.05422898705083868
662,0.0005005359649658203,1.1680077279964342e-07,0.024621057510375976,0.0014641238501207536,17,7,2,uniform,"{'leaf_size': 17, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.4841503155153184,0.6788442333021307,0.7698973538621048,1.0,1.0,0.7865783805359108,0.19720304914099615,1,0.7451732291878022,0.7063927719281352,0.7061910313252907,0.5955220343803177,0.7409287517387132,0.6988415637120517,0.05422898705083868
1202,0.0005003929138183594,9.536743164062499e-08,0.024721431732177734,0.0006787885293876345,27,7,2,uniform,"{'leaf_size': 27, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.4841503155153184,0.6788442333021307,0.7698973538621048,1.0,1.0,0.7865783805359108,0.19720304914099615,1,0.7451732291878022,0.7063927719281352,0.7061910313252907,0.5955220343803177,0.7409287517387132,0.6988415637120517,0.05422898705083868
878,0.0005002498626708984,9.536743164062499e-08,0.025221776962280274,0.0015698147515595276,21,7,2,uniform,"{'leaf_size': 21, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.4841503155153184,0.6788442333021307,0.7698973538621048,1.0,1.0,0.7865783805359108,0.19720304914099615,1,0.7451732291878022,0.7063927719281352,0.7061910313252907,0.5955220343803177,0.7409287517387132,0.6988415637120517,0.05422898705083868
770,0.0005004405975341797,1.5078914929239175e-07,0.024120569229125977,0.0008005500172620796,19,7,2,uniform,"{'leaf_size': 19, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.4841503155153184,0.6788442333021307,0.7698973538621048,1.0,1.0,0.7865783805359108,0.19720304914099615,1,0.7451732291878022,0.7063927719281352,0.7061910313252907,0.5955220343803177,0.7409287517387132,0.6988415637120517,0.05422898705083868
122,0.0007005214691162109,0.00040040017593981613,0.024421024322509765,0.002312880315827036,7,7,2,uniform,"{'leaf_size': 7, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.4841503155153184,0.6788442333021307,0.7698973538621048,1.0,1.0,0.7865783805359108,0.19720304914099615,1,0.7451732291878022,0.7063927719281352,0.7061910313252907,0.5955220343803177,0.7409287517387132,0.6988415637120517,0.05422898705083868
1850,0.0005002975463867188,1.1680077279964342e-07,0.03162727355957031,0.013500092795183775,39,7,2,uniform,"{'leaf_size': 39, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.4841503155153184,0.6788442333021307,0.7698973538621048,1.0,1.0,0.7865783805359108,0.19720304914099615,1,0.7451732291878022,0.7063927719281352,0.7061910313252907,0.5955220343803177,0.7409287517387132,0.6988415637120517,0.05422898705083868
230,0.0005003929138183594,2.78041453115716e-07,0.024621200561523438,0.001961294260595892,9,7,2,uniform,"{'leaf_size': 9, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.4841503155153184,0.6788442333021307,0.7698973538621048,1.0,1.0,0.7865783805359108,0.19720304914099615,1,0.7451732291878022,0.7063927719281352,0.7061910313252907,0.5955220343803177,0.7409287517387132,0.6988415637120517,0.05422898705083868
1418,0.0006005287170410157,0.00020005710786152598,0.025421905517578124,0.0021560636928356397,31,7,2,uniform,"{'leaf_size': 31, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.4841503155153184,0.6788442333021307,0.7698973538621048,1.0,1.0,0.7865783805359108,0.19720304914099615,1,0.7451732291878022,0.7063927719281352,0.7061910313252907,0.5955220343803177,0.7409287517387132,0.6988415637120517,0.05422898705083868
1742,0.000500345230102539,1.1680077279964342e-07,0.024921369552612305,0.0021324887907222716,37,7,2,uniform,"{'leaf_size': 37, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.4841503155153184,0.6788442333021307,0.7698973538621048,1.0,1.0,0.7865783805359108,0.19720304914099615,1,0.7451732291878022,0.7063927719281352,0.7061910313252907,0.5955220343803177,0.7409287517387132,0.6988415637120517,0.05422898705083868
1310,0.0005005836486816406,1.9073486328125e-07,0.024020576477050783,0.0010497785235072136,29,7,2,uniform,"{'leaf_size': 29, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.4841503155153184,0.6788442333021307,0.7698973538621048,1.0,1.0,0.7865783805359108,0.19720304914099615,1,0.7451732291878022,0.7063927719281352,0.7061910313252907,0.5955220343803177,0.7409287517387132,0.6988415637120517,0.05422898705083868
