,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1980,0.022919702529907226,0.0019356860969325692,0.0035029888153076173,1.1680077279964343e-07,0.1,gini,4,1.0,13,"{'ccp_alpha': 0.1, 'criterion': 'gini', 'max_depth': 4, 'max_features': 1.0, 'n_estimators': 13}",0.33942211665106536,0.31750031750047625,0.31750031750047625,0.33756997551928847,0.3883678186903087,0.340072109172323,0.02591574918652938,703,0.8014632045468768,0.6968589438418564,0.5871115466274398,0.64518565859077,0.6035305069844589,0.6668299721182804,0.07727635132948701
387,0.006705808639526367,0.0002452427510974719,0.002802324295043945,0.00024534012752720893,0.0,gini,6,sqrt,4,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 4}",0.264544131657298,0.33942211665106536,0.36293309315564887,0.3431217832483605,0.36166967464852723,0.33433815987218,0.03616320489132462,769,0.9377575981974762,0.7670397642886579,0.9341737427768751,0.8748908660658591,0.8493443675157751,0.8726412677689288,0.0628106133711173
465,0.01451268196105957,0.0004479808994517685,0.003402566909790039,0.00020008126932473735,0.0,gini,6,0.3,10,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 6, 'max_features': 0.3, 'n_estimators': 10}",0.4816466835729722,0.49813548138671787,0.4816466835729722,0.4528120578009407,0.575649675601062,0.49797811638693296,0.0414880708594753,3,0.9670691615059425,0.9670691615059425,0.933804358978755,0.9691169433036153,0.9680450648275534,0.9610209380243617,0.01362929087180301
1443,0.006805944442749024,0.0002452232804435336,0.00270228385925293,0.0002452427047406079,0.0,entropy,8,sqrt,4,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 4}",0.3592106040535498,0.25923792368260634,0.3466592690178669,0.38041370603310753,0.35552856456843185,0.3402100134711125,0.041976397100387856,701,0.9339937756983903,0.8348663415890378,0.873878283318539,0.7434839284668949,0.9359473601695463,0.8644339378484815,0.07147738634435609
1879,0.014296817779541015,0.0013743302466227838,0.0031025886535644533,0.0002000094241643342,0.1,gini,3,1.0,8,"{'ccp_alpha': 0.1, 'criterion': 'gini', 'max_depth': 3, 'max_features': 1.0, 'n_estimators': 8}",0.3296342573721317,0.33942211665106536,0.31750031750047625,0.25053336554642197,0.3883678186903087,0.3250915751520808,0.04437665420026619,909,0.7973483953602708,0.7025486405639385,0.6253920429404838,0.6545131386781988,0.6288599135911029,0.681732426226799,0.06404841620823384
2823,0.022719430923461913,0.002504211589626102,0.005504465103149414,0.003510314443013634,0.1,entropy,4,log2,16,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 16}",0.31750031750047625,0.33942211665106536,0.31750031750047625,0.2386980188146657,0.3883678186903087,0.3202977178313985,0.04831861553894141,980,0.8674665452966515,0.8004376265179424,0.8340416037736947,0.8152044617150268,0.7080992087639056,0.8050498892134442,0.05340445902589627
3116,0.03482985496520996,0.006026827806492852,0.004303836822509765,0.0004004955433680762,0.1,entropy,7,log2,21,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 7, 'max_features': 'log2', 'n_estimators': 21}",0.21997067253202995,0.33942211665106536,0.31750031750047625,0.3488372093023256,0.3883678186903087,0.3228196269352412,0.056312210352725045,940,0.9670691615059425,0.834404865555095,0.8348663415890378,0.9073553699010074,0.8721441375112533,0.8831679752124673,0.049913630994114784
2649,0.018315696716308595,0.0006787744136124027,0.0036278724670410155,0.00048786704555333753,0.1,entropy,2,1.0,10,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 2, 'max_features': 1.0, 'n_estimators': 10}",0.33942211665106536,0.3296342573721317,0.5006476220603214,0.4164043862150075,0.3900119595344697,0.3952240683665992,0.06165351366727356,224,0.7685635067075867,0.79953888741122,0.7668672413486304,0.743853396572794,0.7080992087639056,0.7573844481608273,0.0303447380764424
2818,0.018215751647949217,0.0024020791117369666,0.003502941131591797,1.9073486328124998e-07,0.1,entropy,4,log2,11,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 11}",0.31750031750047625,0.33942211665106536,0.20377359689625746,0.3678403918973623,0.3883678186903087,0.323380848327094,0.06449458094840174,930,0.8683325963286448,0.6627689951679255,0.6974201199053696,0.8762435938512099,0.700830899322582,0.7611192409151463,0.09177510905022895
1568,0.013711690902709961,0.0010778093856022727,0.004303789138793946,0.0013648801154504595,0.0,entropy,9,log2,9,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'log2', 'n_estimators': 9}",0.49813548138671787,0.3296342573721317,0.31750031750047625,0.33756997551928847,0.3900119595344697,0.37457039826261684,0.06656133072811898,366,0.9670691615059425,0.966998441107814,0.8683325963286448,0.9380086085197582,0.9680450648275534,0.9416907744579426,0.0384033065913626
2924,0.02888169288635254,0.0009449269337631306,0.0047038555145263675,0.0005103233393328987,0.1,entropy,5,log2,21,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 21}",0.31750031750047625,0.33942211665106536,0.33942211665106536,0.476873817559482,0.45923114679577626,0.38648990303157305,0.06730654721648752,263,0.9345219395023615,0.834404865555095,0.8005913484651556,0.8452790073707093,0.8718992204470815,0.8573392762680804,0.04485737412953827
102,0.010609102249145509,0.0007353323024326161,0.0032027244567871095,0.0002451454751137547,0.0,gini,3,sqrt,7,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 7}",0.31750031750047625,0.33942211665106536,0.4816466835729722,0.476873817559482,0.38283197233626054,0.39965498152405127,0.06833123489783002,202,0.8307399378891107,0.8004376265179424,0.8014632045468768,0.8171820104182481,0.7063608374582664,0.791236723366089,0.04387895947412455
1345,0.004503870010375976,4.156969970265077e-07,0.002401876449584961,0.0002004146859556764,0.0,entropy,7,sqrt,2,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 2}",0.38885688552390946,0.49813548138671787,0.3592106040535498,0.5569620439008867,0.45923114679577626,0.452479232332168,0.07182420117804962,34,0.7655009328699005,0.7998734593799248,0.6421844031685077,0.6221928549100189,0.842091700276985,0.7343686701210673,0.08711566910438849
2868,0.019917058944702148,0.000490135053574918,0.004103565216064453,0.0012420647541924168,0.1,entropy,4,0.3,13,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 4, 'max_features': 0.3, 'n_estimators': 13}",0.31750031750047625,0.33942211665106536,0.4816466835729722,0.46456538905166156,0.5286727237024551,0.4263614460957261,0.0829370708297994,96,0.933804358978755,0.8683325963286448,0.834404865555095,0.8452790073707093,0.9359473601695463,0.88355363768055,0.04331850960934626
4415,0.03843283653259277,0.006679356046421701,0.005004453659057617,0.0005482052369548787,0.2,entropy,2,0.3,24,"{'ccp_alpha': 0.2, 'criterion': 'entropy', 'max_depth': 2, 'max_features': 0.3, 'n_estimators': 24}",0.21997067253202995,0.33942211665106536,0.31750031750047625,0.476873817559482,0.3883678186903087,0.3484269485866724,0.08441851647584239,596,0.7025486405639385,0.6627689951679255,0.6249285673464723,0.7526682888890602,0.6750546941469479,0.6835938372228688,0.042611663528753396
