,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
5073,0.014433813095092774,0.003784734530015711,0.003602886199951172,0.0017850269098319855,0.2,entropy,9,0.3,10,"{'ccp_alpha': 0.2, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 0.3, 'n_estimators': 10}",0.2741752908499247,0.4479043597778675,0.25,0.34112114616897665,0.2608745973749754,0.31481507883434884,0.07371150280989748,6,0.8258369291204958,0.6753111342227672,0.7361685442384883,0.831530956921251,0.6525291065465287,0.7442753342099062,0.07416871129131304
1681,0.008116626739501953,0.00219447323361483,0.002628993988037109,0.0001875730590235707,0.0,entropy,10,1.0,2,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 1.0, 'n_estimators': 2}",0.3329560459081458,0.4287464628562721,0.5525703557068385,0.3611730459561101,0.5906244232186183,0.453214066729197,0.10225994616269757,1,0.65188051946061,0.7658382046039395,0.8024580003797697,0.7194705921421206,0.8061711749320738,0.7491636983037027,0.05781673049387371
3409,0.007986879348754883,0.0031625377957876,0.0036926746368408205,0.00173709954323687,0.1,entropy,10,1.0,2,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 1.0, 'n_estimators': 2}",0.2741752908499247,0.08574929257125442,0.27941176470588236,0.23152118330519877,0.4528120578009407,0.26473391784664024,0.11731713196457752,24,0.7707172659371339,0.70710756644151,0.7661477959809848,0.6140790183382603,0.752424443186851,0.722095217976948,0.05850935679258478
366,0.008239984512329102,0.0009200068129058644,0.003282642364501953,0.0009080825871361267,0.0,gini,5,0.3,7,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 5, 'max_features': 0.3, 'n_estimators': 7}",0.3429971702850177,0.06482037235521644,0.44662980013443065,0.2507132682112035,0.2608745973749754,0.27320704167216875,0.12572126167067163,17,0.9715871758366806,0.8846525798654769,0.91548438820442,0.9441838305340038,0.916646249918881,0.9265108448718925,0.029377601553000406
1393,0.0075725078582763675,0.002034545402825194,0.002508115768432617,2.5011643052666134e-05,0.0,entropy,7,1.0,2,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 7, 'max_features': 1.0, 'n_estimators': 2}",0.21639460572527427,0.5445811486371709,0.3644344934278313,0.0778498944161523,0.3872983346207417,0.31811169536543404,0.15892961036712427,5,0.6662898662115081,0.6475528224990122,0.6858099702493771,0.7493800976605326,0.5883047902657134,0.6674675093772287,0.05236570573214535
4666,0.029263019561767578,0.00892967358775036,0.004266214370727539,0.0019762946712188014,0.2,entropy,5,1.0,11,"{'ccp_alpha': 0.2, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 1.0, 'n_estimators': 11}",0.2741752908499247,0.08574929257125442,0.5900655040659889,0.25930372530182266,0.3872983346207417,0.3193184294819465,0.16620436534524594,4,0.8845771144278607,0.7004636597038403,0.8288491002905402,0.8370109288223356,0.7416079884305065,0.7985017583350167,0.0673219936410983
3322,0.02876935005187988,0.004875302615514203,0.0033286094665527345,0.0010109869267189698,0.1,entropy,9,1.0,11,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 1.0, 'n_estimators': 11}",0.40512732722010275,0.5445811486371709,0.10780719313589705,0.0943879807448539,0.2608745973749754,0.28255564942260003,0.173260117144619,14,0.9715871758366806,0.8860671613258293,0.8889219685883002,0.9170114511045521,0.8861003861003861,0.9099376285911497,0.0329556579145786
463,0.010062789916992188,0.003063095288066138,0.0026348114013671877,4.606710927906026e-05,0.0,gini,6,0.3,8,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 6, 'max_features': 0.3, 'n_estimators': 8}",0.18378676102867628,0.485071250072666,0.20021335868095166,-0.01818181818181818,0.404145188432738,0.25100694800664275,0.17765052900481934,33,0.9162020642218266,0.8842499658946592,0.9443344625757857,0.9441838305340038,0.9720492087034346,0.932203906385942,0.029779041133412613
3050,0.005110931396484375,0.00012567462825485237,0.002418851852416992,1.8065521824298284e-05,0.1,entropy,6,0.3,3,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 6, 'max_features': 0.3, 'n_estimators': 3}",0.2475368857441686,0.19802950859533489,0.007352941176470588,0.47236777317182965,0.5217491947499509,0.28940726068755096,0.18820998086315774,12,0.7672624740473236,0.7123784817154915,0.7367001007080245,0.7752045201148747,0.7728286464639925,0.7528748446099414,0.024516729983361817
1686,0.018459224700927736,0.003642274675305928,0.0027355670928955076,9.332635128324158e-05,0.0,entropy,10,1.0,7,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 1.0, 'n_estimators': 7}",0.1620509308880411,0.04950737714883372,0.4287464628562721,0.09253306362967481,0.5532833351724882,0.25722423393906196,0.1981909676156818,30,0.9715871758366806,0.9140163561457211,0.884989744076354,0.8888617759665871,0.9190371051053295,0.9156984314261344,0.030986311255047777
1058,0.004441642761230468,0.0013048767158659067,0.002646923065185547,0.0003855561782824341,0.0,entropy,4,sqrt,3,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 3}",0.04287464628562721,0.07426106572325057,0.6764705882352942,0.1909571848992503,0.27852424952911653,0.2526175469345078,0.22800336702261148,31,0.7710089344473707,0.6277114808195,0.7231676623702846,0.8310889626181945,0.7422481868637271,0.7390450454238154,0.06656017864941736
3158,0.02154407501220703,0.007353145555442198,0.003217124938964844,0.000636043674703375,0.1,entropy,7,0.3,15,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 7, 'max_features': 0.3, 'n_estimators': 15}",0.1620509308880411,0.3107907802540305,0.20021335868095166,-0.038525706426470976,0.6561273844720155,0.25813134957371353,0.22880787085802368,29,0.9440118002212546,0.8566499344472385,0.9422885572139303,0.9441838305340038,0.8570817409405826,0.908843172671402,0.04244471260415809
