,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
4857,0.020524024963378906,0.0027364375024451085,0.0020092487335205077,5.404136695084639e-05,0.2,entropy,7,1.0,10,"{'ccp_alpha': 0.2, 'criterion': 'entropy', 'max_depth': 7, 'max_features': 1.0, 'n_estimators': 10}",0.33942211665106536,0.31750031750047625,0.28516171605086693,0.34992710611188255,0.3780756226875627,0.3340173758003708,0.03125107539097611,170,0.6771652208700178,0.6980722779481275,0.6362179823924616,0.7776566867810526,0.7092225146894773,0.6996669365362275,0.046278180912750475
4565,0.014037036895751953,0.0031268206890991473,0.0015905380249023437,0.00016640786092840602,0.2,entropy,4,1.0,6,"{'ccp_alpha': 0.2, 'criterion': 'entropy', 'max_depth': 4, 'max_features': 1.0, 'n_estimators': 6}",0.33505481671702403,0.3592106040535498,0.3903354341487251,0.34992710611188255,0.4265755807408262,0.3722207083544015,0.03265016526394933,64,0.6614046850616084,0.5871254414123378,0.4815578815791896,0.7562193966997133,0.8478792882449513,0.6668373385995601,0.12765368566009877
3139,0.04203586578369141,0.0058727425841871225,0.005472612380981445,0.004836829506171692,0.1,entropy,7,1.0,20,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 7, 'max_features': 1.0, 'n_estimators': 20}",0.33505481671702403,0.3388226069985336,0.36293309315564887,0.34992710611188255,0.2669258885993638,0.33073270231649055,0.03334884410183678,183,0.9024397572846347,0.9036146215312901,0.8359456117845957,0.8785687710139918,0.905608457003184,0.8852354437235392,0.026543452336406887
2694,0.011093997955322265,0.0019610029649326788,0.001704835891723633,6.0446440611404076e-05,0.1,entropy,3,sqrt,7,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 7}",0.3296342573721317,0.31750031750047625,0.27419354838709675,0.34992710611188255,0.4077862096248241,0.3358082877992823,0.043703177920780316,164,0.805641191803947,0.7363351802716493,0.7024998239981975,0.8132911392405063,0.7444564862322997,0.76044476430932,0.0424969871582487
3143,0.0461423397064209,0.0018392833511215025,0.004112100601196289,0.002056267275159873,0.1,entropy,7,1.0,24,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 7, 'max_features': 1.0, 'n_estimators': 24}",0.22450662753346864,0.29838709677419356,0.24608103457202238,0.1865117742382477,0.3137254901960784,0.25384240466280217,0.046956264772914494,719,0.9030927117473757,0.9358192035166428,0.9024397572846347,0.9380086085197582,0.9368799484870068,0.9232480459110836,0.01673893276598129
1017,0.02824239730834961,0.008558634781871471,0.0027875900268554688,0.0006920716182635196,0.0,entropy,3,1.0,10,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 1.0, 'n_estimators': 10}",0.20377359689625746,0.2333141313143457,0.26305214040457564,0.34992710611188255,0.23669053416557542,0.25735150177852734,0.04995598553034471,687,0.8689171745273689,0.9036146215312901,0.8397170405438027,0.8431460445316059,0.8738356614935513,0.8658461085255238,0.023228198710208748
4676,0.04343862533569336,0.006283561099765761,0.003160238265991211,0.0008953841528304712,0.2,entropy,5,1.0,21,"{'ccp_alpha': 0.2, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 1.0, 'n_estimators': 21}",0.22450662753346864,0.32995600879804493,0.36293309315564887,0.34992710611188255,0.3900119595344697,0.3314669590267029,0.05692311867004081,181,0.6664107555680616,0.8095656586160156,0.6614046850616084,0.6436742789718507,0.6736104905476227,0.6909331737530319,0.06013389325859064
210,0.0433957576751709,0.019519173837712872,0.0052413463592529295,0.004984152172533641,0.0,gini,4,sqrt,19,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 19}",0.31133467586669866,0.31750031750047625,0.19572034031470317,0.34992710611188255,0.23669053416557542,0.2822345947918672,0.05697673155175454,445,0.9362510162412889,0.8391662776410229,0.9362510162412889,0.9386685945715587,0.9381779463633502,0.917702970211702,0.0392806673980519
4762,0.023383140563964844,0.004971819210793531,0.002463626861572266,0.0007781518777424342,0.2,entropy,6,1.0,11,"{'ccp_alpha': 0.2, 'criterion': 'entropy', 'max_depth': 6, 'max_features': 1.0, 'n_estimators': 11}",0.22450662753346864,0.33942211665106536,0.36293309315564887,0.34992710611188255,0.3900119595344697,0.33336018059730704,0.056998749667472016,173,0.7344420971645541,0.6264830519983926,0.6633587778527464,0.6772890358549183,0.6756232595486903,0.6754392444838604,0.03472013442030373
2754,0.039885425567626955,0.007636503752741194,0.0029508113861083985,0.0006148551881293132,0.1,entropy,3,1.0,19,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 1.0, 'n_estimators': 19}",0.33505481671702403,0.22450662753346864,0.36293309315564887,0.34992710611188255,0.23669053416557542,0.3018224355367199,0.05894550315009961,313,0.9024397572846347,0.9362510162412889,0.8691733242198493,0.9086028924839914,0.8738356614935513,0.898060530344663,0.02453628818562392
