,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1520,0.01941685676574707,0.006619212290860817,0.002101898193359375,0.0004904659484818143,0.0,entropy,8,0.3,9,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 8, 'max_features': 0.3, 'n_estimators': 9}",0.3502363984578899,0.3592106040535498,0.31750031750047625,0.3764037045814055,0.3386481059780782,0.3483998261142799,0.019770375843753633,556,0.9686366035843892,0.9685460669906262,0.9370272860815253,0.9697060993485439,0.9688622498696908,0.9625556611749552,0.012770768061264062
3451,0.0338289737701416,0.00350450146673457,0.0037031173706054688,0.0016627341927625903,0.1,entropy,10,0.3,20,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 0.3, 'n_estimators': 20}",0.33942211665106536,0.33505481671702403,0.3733643283161719,0.3764037045814055,0.3000495990744895,0.34485891306803124,0.028075563222141622,580,0.9685460669906262,0.9370272860815253,0.9686366035843892,0.9393734634316081,0.9381779463633502,0.9503522732902997,0.014910631439781158
2268,0.028324460983276366,0.0051386582860313374,0.0024019718170166016,0.0003745847583826581,0.1,gini,7,1.0,13,"{'ccp_alpha': 0.1, 'criterion': 'gini', 'max_depth': 7, 'max_features': 1.0, 'n_estimators': 13}",0.36293309315564887,0.4242776458138317,0.4762504762507144,0.3764037045814055,0.4008918628686366,0.40815135653404744,0.04000713013417154,175,0.7764669494023287,0.671490065800149,0.7050249988730904,0.6179971086036727,0.678484623390265,0.6898927492139011,0.051694998497734373
3131,0.031326913833618165,0.004072787082964298,0.002402067184448242,0.0003741641551908533,0.1,entropy,7,1.0,12,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 7, 'max_features': 1.0, 'n_estimators': 12}",0.33505481671702403,0.4312287725435882,0.31133467586669866,0.3605894301939455,0.31693284552319373,0.35102810816889,0.0436274385854217,530,0.9367502726281353,0.9377575981974762,0.9686366035843892,0.9697060993485439,0.9374690909223261,0.9500639329361741,0.015608255938642353
4948,0.011109542846679688,0.0005836499165852265,0.0014011859893798828,0.00020027166321163282,0.2,entropy,8,1.0,5,"{'ccp_alpha': 0.2, 'criterion': 'entropy', 'max_depth': 8, 'max_features': 1.0, 'n_estimators': 5}",0.24608103457202238,0.33942211665106536,0.3502363984578899,0.3764037045814055,0.26549712202679576,0.3155280752578357,0.050611111231082404,847,0.8427718385944709,0.5557864301698658,0.5380912247462866,0.7496587917803453,0.7790414726005718,0.6930699515783081,0.12318216206843406
4677,0.048842000961303714,0.001807079948180057,0.0031026363372802734,0.00020022395111941386,0.2,entropy,5,1.0,22,"{'ccp_alpha': 0.2, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 1.0, 'n_estimators': 22}",0.36293309315564887,0.3592106040535498,0.4786497381671772,0.3764037045814055,0.3086066999241838,0.37716076797639303,0.055722310751688355,340,0.8393902001821715,0.7053880223004694,0.8725315423268727,0.9094770131784531,0.8411916906207633,0.833595693721746,0.06899631502387356
2471,0.041635560989379886,0.0012421300851316367,0.0033027172088623048,0.00024510643331571234,0.1,gini,9,1.0,24,"{'ccp_alpha': 0.1, 'criterion': 'gini', 'max_depth': 9, 'max_features': 1.0, 'n_estimators': 24}",0.492552054996952,0.3592106040535498,0.3592106040535498,0.34992710611188255,0.3386481059780782,0.37990969503880245,0.05682724762426841,324,0.7412547574024128,0.6356728842605579,0.7077775229475023,0.7035943285416681,0.8083421754093381,0.7193283337122958,0.0561844221123797
2658,0.04003448486328125,0.00441953952581411,0.0026020050048828126,0.00020008087158203123,0.1,entropy,2,1.0,19,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 2, 'max_features': 1.0, 'n_estimators': 19}",0.3574523428645487,0.33942211665106536,0.4762504762507144,0.3764037045814055,0.3086066999241838,0.37162706805438356,0.05688325294406197,380,0.9370272860815253,0.7398191756741141,0.8448609511435157,0.7906272104391806,0.8406027575345552,0.8305874761745781,0.06552736572581193
4477,0.031526803970336914,0.0013050991381633485,0.0025022029876708984,0.00044755446433175937,0.2,entropy,3,1.0,14,"{'ccp_alpha': 0.2, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 1.0, 'n_estimators': 14}",0.36293309315564887,0.46670541039521485,0.49813548138671787,0.5346670861496433,0.4687050089150529,0.46622921600045564,0.0572332021607784,35,0.8064356981962015,0.8091351078994604,0.7057798341638174,0.8507803248185002,0.8095447046660807,0.7963351339488121,0.048176539140487175
339,0.010108518600463866,0.005744360525713904,0.0016015529632568359,0.00020022400789924513,0.0,gini,5,1.0,4,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 5, 'max_features': 1.0, 'n_estimators': 4}",0.3427101402346148,0.30483638224685217,0.4762504762507144,0.38399085873473177,0.3000495990744895,0.3615674913082806,0.0648281789529702,456,0.8091351078994604,0.7451732291878022,0.8743317530694076,0.9094770131784531,0.8103095543588047,0.8296853315387855,0.05709648551550907
3443,0.022519397735595702,0.003927644234376891,0.0020015716552734377,1.784161275279017e-07,0.1,entropy,10,0.3,12,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 0.3, 'n_estimators': 12}",0.31750031750047625,0.49813548138671787,0.36293309315564887,0.34992710611188255,0.31622776601683794,0.3689447528343127,0.06710240816659795,398,0.9686366035843892,0.9046889576518716,0.8731593365633623,0.9393734634316081,0.9687760344424214,0.9309268791347305,0.03728657710312026
2934,0.017414951324462892,0.002036555261576207,0.0017014503479003905,0.0002452040029731631,0.1,entropy,5,1.0,7,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 1.0, 'n_estimators': 7}",0.33505481671702403,0.38854919337165644,0.3592106040535498,0.38399085873473177,0.19920476822239894,0.3332020482198722,0.06968207592250075,686,0.9042718428653901,0.9692682434155006,0.9377575981974762,0.938780337261212,0.9372340425531915,0.9374624128585541,0.020567454903318086
2361,0.018515872955322265,0.0012659691538571816,0.0021018028259277345,0.0004901447304344169,0.1,gini,8,1.0,10,"{'ccp_alpha': 0.1, 'criterion': 'gini', 'max_depth': 8, 'max_features': 1.0, 'n_estimators': 10}",0.49813548138671787,0.33942211665106536,0.4762504762507144,0.5346670861496433,0.4008918628686366,0.44987340466135556,0.07044661075642471,60,0.7060694782684235,0.6375921325128004,0.5739617092513392,0.8146324820952106,0.7078990217093716,0.688030964767429,0.08037903047297343
3226,0.02572188377380371,0.0010781458824220581,0.0024022579193115233,0.00037446998101107613,0.1,entropy,8,1.0,11,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 8, 'max_features': 1.0, 'n_estimators': 11}",0.5006476220603214,0.45601459270045336,0.5047524566010766,0.38635623073303615,0.31693284552319373,0.4329407495236163,0.07197429441481318,92,0.9367502726281353,0.8407036087205843,0.9377575981974762,0.9697814366141521,0.9053832129542975,0.918075225822929,0.04371988040592684
4961,0.038432979583740236,0.001393953215527454,0.00270233154296875,0.00040025716740260377,0.2,entropy,8,1.0,18,"{'ccp_alpha': 0.2, 'criterion': 'entropy', 'max_depth': 8, 'max_features': 1.0, 'n_estimators': 18}",0.24608103457202238,0.46670541039521485,0.31750031750047625,0.3764037045814055,0.31693284552319373,0.34472466251446254,0.07365728741487851,583,0.9377575981974762,0.80684713006965,0.8091351078994604,0.9094770131784531,0.8083421754093381,0.8543118049508756,0.057294741063361805
4982,0.0245211124420166,0.002848407034124523,0.0025020122528076174,2.7804145311571603e-07,0.2,entropy,8,0.3,15,"{'ccp_alpha': 0.2, 'criterion': 'entropy', 'max_depth': 8, 'max_features': 0.3, 'n_estimators': 15}",0.4816466835729722,0.493914580573631,0.31133467586669866,0.3764037045814055,0.3335621924974955,0.3993723674184405,0.07525485618401476,216,0.8448609511435157,0.8125611631123877,0.7060694782684235,0.6746318727570388,0.7425907046499061,0.7561428339862543,0.06385760743438242
1586,0.0078067779541015625,0.0008726355283723125,0.001701498031616211,0.0006788307041281926,0.0,entropy,9,1.0,3,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 1.0, 'n_estimators': 3}",0.4116387748237724,0.4080130566267214,0.33505481671702403,0.5555305062116314,0.3671115491071762,0.41546974069726506,0.07548823903885128,157,0.8729820799941924,0.8447960626146414,0.8725692050867976,0.8823649269273214,0.8426467538076723,0.863071805686125,0.016197680009908254
1328,0.014512348175048827,0.0007076287430210997,0.0018015861511230468,0.00024535950550605163,0.0,entropy,6,0.3,9,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 6, 'max_features': 0.3, 'n_estimators': 9}",0.33942211665106536,0.4762504762507144,0.49813548138671787,0.3605894301939455,0.3000495990744895,0.39488942071138655,0.07813715293096224,241,0.9377575981974762,0.9364089549280081,0.9056728844715738,0.9697814366141521,0.9688622498696908,0.9436966248161802,0.023865930068782938
2265,0.022519350051879883,0.005904100212333156,0.003302907943725586,0.002360032969518919,0.1,gini,7,1.0,10,"{'ccp_alpha': 0.1, 'criterion': 'gini', 'max_depth': 7, 'max_features': 1.0, 'n_estimators': 10}",0.24608103457202238,0.33505481671702403,0.4786497381671772,0.38571428571428573,0.30631873731649006,0.3503637224973999,0.07842979848615966,537,0.7779722182856792,0.6737504429605524,0.747875415426019,0.8146324820952106,0.6629722428946963,0.7354405603324314,0.05880859739110477
816,0.0021018505096435545,0.0002000570510343255,0.0015012264251708985,0.0010006904715659177,0.0,gini,10,1.0,1,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 10, 'max_features': 1.0, 'n_estimators': 1}",0.3296342573721317,0.3089789136898379,0.31750031750047625,0.41526976724996095,0.17109647770728872,0.3084959467039391,0.07849509916295615,927,0.709096708224206,0.7143747712658491,0.775723394614918,0.7018204265743658,0.8193473673048758,0.744072533596843,0.04595341899959512
1981,0.04293699264526367,0.019056867886901557,0.002502155303955078,9.536743164062499e-08,0.1,gini,4,1.0,14,"{'ccp_alpha': 0.1, 'criterion': 'gini', 'max_depth': 4, 'max_features': 1.0, 'n_estimators': 14}",0.24608103457202238,0.33942211665106536,0.33942211665106536,0.3764037045814055,0.49099025303098287,0.3584638450973083,0.07904449165389718,476,0.8082577393987771,0.6429834237675397,0.7108286022385416,0.5535362629039641,0.813626458968844,0.7058464974555333,0.09927696362288019
