,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1003,0.011140060424804688,0.003829106797377718,0.0009637832641601563,4.728258208736661e-05,0.0,entropy,3,log2,20,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 20}",0.39285714285714285,0.3592106040535498,0.33942211665106536,0.3764037045814055,0.3900119595344697,0.37158110553552665,0.020014262303592243,141,0.8391662776410229,0.8340416037736947,0.8683325963286448,0.7769729186492285,0.8721441375112533,0.8381315067807689,0.03413835326629278
3217,0.0016900062561035155,8.562720868743013e-05,0.00042662620544433596,4.729109294211364e-06,0.1,entropy,8,1.0,2,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 8, 'max_features': 1.0, 'n_estimators': 2}",0.38575837490522974,0.29838709677419356,0.2880092164423916,0.3764037045814055,0.2882799596873129,0.32736767047810666,0.04411534357846419,369,0.773776932854027,0.6889433603704803,0.4458364663035968,0.6311085129897326,0.7107180706069358,0.6500766686249545,0.11186027525837353
2995,0.011312150955200195,0.0032132061952902776,0.0009416580200195312,1.5756997132607206e-05,0.1,entropy,6,sqrt,20,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 20}",0.39285714285714285,0.31750031750047625,0.32995600879804493,0.3764037045814055,0.2656844656620286,0.3364803278798196,0.04513775119539144,309,0.8693697140381191,0.933804358978755,0.7685635067075867,0.904926424978735,0.8708961786514843,0.8695120366709361,0.055821543177277756
332,0.010570621490478516,0.002186629144487778,0.0009765625,1.7711788729798786e-05,0.0,gini,5,log2,21,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 21}",0.23845524161913298,0.31133467586669866,0.32995600879804493,0.34992710611188255,0.2193817272381392,0.28981095192677964,0.051549069727575024,760,0.9362510162412889,0.9670691615059425,0.900937462695559,0.9370977609493786,0.9359473601695463,0.9354605523123432,0.02094989336047411
2364,0.011206388473510742,0.0037195689662450726,0.0008032321929931641,4.6337189081185415e-05,0.1,gini,8,1.0,13,"{'ccp_alpha': 0.1, 'criterion': 'gini', 'max_depth': 8, 'max_features': 1.0, 'n_estimators': 13}",0.23385358667337133,0.31750031750047625,0.36293309315564887,0.3764037045814055,0.2656844656620286,0.3112750335145861,0.054811738504849904,523,0.7010313544358646,0.5801674030832399,0.6553167297955147,0.7022569233452972,0.665709736268523,0.6608964293856879,0.04448141033684173
3423,0.01248760223388672,0.0031554904338282055,0.0008620262145996094,1.998772598807291e-05,0.1,entropy,10,1.0,16,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 1.0, 'n_estimators': 16}",0.24929411623818448,0.27419354838709675,0.3427101402346148,0.38635623073303615,0.22454435656953592,0.29541967843249367,0.060178520512538726,701,0.8711367333074906,0.9332524064602489,0.8995471465684023,0.9037978111540832,0.8400625389022855,0.8895593272785021,0.03162562300985071
3285,0.013481569290161134,0.0034255873068232386,0.0013721942901611327,0.00073050133852596,0.1,entropy,9,sqrt,22,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'n_estimators': 22}",0.4008918628686366,0.22450662753346864,0.32995600879804493,0.3605894301939455,0.2669258885993638,0.3165739635986919,0.06350948636526298,472,0.9362510162412889,0.966998441107814,0.8683325963286448,0.8410155387145494,0.9359473601695463,0.9097089905123686,0.04712920249088786
3378,0.012892007827758789,0.004452829138134316,0.0009356498718261719,2.4812765734963243e-05,0.1,entropy,10,sqrt,19,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 19}",0.23845524161913298,0.3592106040535498,0.21997067253202995,0.3764037045814055,0.2656844656620286,0.29194493768962937,0.06385766672540509,742,0.9362510162412889,0.8657311625787029,0.86539239573202,0.8729186909653825,0.9359473601695463,0.8952481251373883,0.03346306650186297
2877,0.015920114517211915,0.0037059797108079003,0.0014148712158203124,0.0007614851979547307,0.1,entropy,4,0.3,22,"{'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 4, 'max_features': 0.3, 'n_estimators': 22}",0.24929411623818448,0.4242776458138317,0.32995600879804493,0.38635623073303615,0.27345140881161467,0.3326670820789424,0.06593924079476057,326,0.9362510162412889,0.933804358978755,0.9345219395023615,0.9061751029291132,0.9681218127178343,0.9357748460738706,0.019637466117595714
1204,0.00645899772644043,0.004403507333070264,0.004296207427978515,0.006831346171972785,0.0,entropy,5,1.0,5,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 1.0, 'n_estimators': 5}",0.39285714285714285,0.36293309315564887,0.20377359689625746,0.34992710611188255,0.3558350347521794,0.33306519475462226,0.06631180190236446,324,0.9362510162412889,0.8053658215568925,0.8679602885001796,0.8392139232344964,0.9357997823721437,0.8769181663810002,0.05217091785943282
