Features Selected,Training RMSE Score,Training Log RMSE Score,Validation RMSE Score,Validation RMSE Score
28.0,225357.14337415248,1.359479256945476,120500.60359612123,1.682929937472474
34.0,225357.14341467596,1.3594792585607345,120500.60366190229,1.6829299422440136
40.0,225357.1434153243,1.3594792586726565,120500.60366317243,1.682929942278991
45.0,225357.1434153243,1.3594792586726565,120500.60366317243,1.682929942278991
51.0,225357.14341246514,1.359479258158252,120500.6036575482,1.6829299419768937
57.0,225357.14341246514,1.359479258158252,120500.6036575482,1.6829299419768937
62.0,225357.14351549846,1.3594792562374407,120500.60386616632,1.6829299430566682
68.0,225357.14351549846,1.3594792562374407,120500.60386616632,1.6829299430566682
74.0,225357.14351549846,1.3594792562374407,120500.60386616632,1.6829299430566682
80.0,225357.14351549846,1.3594792562374407,120500.60386616632,1.6829299430566682
85.0,225357.14351549846,1.3594792562374407,120500.60386616632,1.6829299430566682
91.0,225357.14350268355,1.3594792564416958,120500.60384022018,1.6829299428995554
97.0,225357.14350268355,1.3594792564416955,120500.60384022018,1.6829299428995554
102.0,225357.14350268355,1.3594792564416955,120500.60384022018,1.6829299428995554
108.0,225357.14350268355,1.3594792564416955,120500.60384022018,1.6829299428995554
114.0,225357.14350268355,1.3594792564416955,120500.60384022018,1.6829299428995554
120.0,225357.14350268355,1.3594792564416955,120500.60384022018,1.6829299428995554
125.0,225357.14350268355,1.3594792564416955,120500.60384022018,1.6829299428995554
131.0,225356.3906715368,1.359328768716273,120499.05163576065,1.6829555758172532
137.0,225356.3906715368,1.3593287687162732,120499.05163576065,1.6829555758172532
143.0,225356.63034832134,1.359142673023566,120499.53000991396,1.6834149596955796
148.0,225356.63034832134,1.3591426730235656,120499.53000991396,1.6834149596955796
154.0,225356.63008813647,1.3591426791489885,120499.52948029593,1.6834149718923435
160.0,225356.63023563247,1.3591426842771723,120499.52948766174,1.6834150041558893
165.0,225356.6300236737,1.3591426887589735,120499.52905625485,1.6834150136935222
171.0,225356.6300236737,1.3591426887589735,120499.52905625485,1.6834150136935222
177.0,225356.6300236737,1.3591426887589733,120499.52905625485,1.6834150136935222
183.0,225356.6300236737,1.3591426887589733,120499.52905625485,1.6834150136935222
188.0,225356.6300236737,1.3591426887589735,120499.52905625485,1.6834150136935222
194.0,225356.6300236737,1.3591426887589735,120499.52905625485,1.6834150136935222
200.0,225356.62980094715,1.3591426936685211,120499.52860291435,1.6834150238725667
205.0,225356.630990488,1.3591426870687398,120499.52946430018,1.6834150921232116
211.0,225356.630990488,1.3591426870687398,120499.52946430018,1.6834150921232116
217.0,225356.63263504423,1.3591427360106174,120499.52955407972,1.683415352141505
223.0,225356.63263504423,1.3591427360106174,120499.52955407972,1.683415352141505
228.0,225356.63263504423,1.3591427360106174,120499.52955407972,1.683415352141505
234.0,225356.63263504423,1.3591427360106174,120499.52955407972,1.683415352141505
240.0,225356.63263504423,1.3591427360106174,120499.52955407972,1.683415352141505
245.0,225356.63263504423,1.3591427360106174,120499.52955407972,1.683415352141505
251.0,225356.63263504423,1.3591427360106174,120499.52955407972,1.683415352141505
257.0,225356.63263504423,1.3591427360106174,120499.52955407972,1.683415352141505
263.0,225356.63263504423,1.3591427360106174,120499.52955407972,1.683415352141505
268.0,225356.63263504423,1.3591427360106174,120499.52955407972,1.683415352141505
274.0,225356.63263504423,1.3591427360106174,120499.52955407972,1.683415352141505
280.0,225356.63263504423,1.3591427360106174,120499.52955407972,1.683415352141505
286.0,225356.63263504423,1.3591427360106174,120499.52955407972,1.683415352141505
291.0,225356.63263504423,1.3591427360106174,120499.52955407972,1.683415352141505
297.0,225356.6331999278,1.3591427542185666,120499.52958156579,1.6834154836554323
303.0,225356.6331999278,1.3591427542185666,120499.52958156579,1.6834154836554323
308.0,225356.6331999278,1.3591427542185666,120499.52958156579,1.6834154836554323
