Features Selected,Training RMSE Score,Training Log RMSE Score,Validation RMSE Score,Validation RMSE Score
28.0,205842.1100303331,0.9492518900487745,121641.17367241191,1.3024508153058154
34.0,205583.51048912734,0.9115475746795705,122144.24945781115,1.2644203856885863
40.0,203550.69044683513,0.8828840400488737,124029.91473039603,1.3163085164039285
45.0,205332.27789069334,0.8509443736853125,121871.42479052515,1.341688500261814
51.0,202981.77478059594,0.7837126663372105,119978.32647888796,1.2360877006610578
57.0,166508.0095172795,0.7513711984713363,119227.81900825184,1.247197967330282
62.0,163748.4362005115,0.7384937037054815,119420.21091273116,1.2761459816098384
68.0,166121.72730279443,0.737158986797025,119742.73966255334,1.3006702661712708
74.0,166121.72730279472,0.7371589867970251,119742.73966255333,1.3006702661712706
80.0,166121.7273027948,0.7371589867970249,119742.73966255333,1.3006702661712708
85.0,166121.72730279452,0.7371589867970254,119742.73966255333,1.3006702661712715
91.0,166121.72730279464,0.7371589867970252,119742.73966255333,1.3006702661712706
97.0,166121.72730279464,0.7371589867970252,119742.73966255334,1.3006702661712708
102.0,166121.72730279464,0.7371589867970252,119742.73966255333,1.3006702661712708
108.0,166531.94642568185,0.73720721775799,119821.52867704029,1.3063701648353363
114.0,160507.58095674252,0.7352564497998877,120162.41615638144,1.311763182559819
120.0,160009.154397107,0.732597213172216,121338.2717140995,1.3434504585399214
125.0,157390.53543802633,0.7091597740191234,120070.21976413441,1.3448522922738135
131.0,147307.82365450336,0.6878356263578776,120124.14377675418,1.3371817725313535
137.0,137615.94964779733,0.6594923075756621,118665.12756903886,1.294225059653616
143.0,135806.3198383116,0.6561873787016712,118200.04233847916,1.3235693426082908
148.0,136220.64281271613,0.6527388811217226,118563.81689832984,1.344556924043557
154.0,135693.27757586224,0.6557313093039411,118457.65593632634,1.332296469142827
160.0,135822.473142726,0.6530083845230819,118395.66559957941,1.3400206669610217
165.0,135606.60571089722,0.6522507700709012,118062.30476040344,1.350575028720361
171.0,133469.0450556268,0.6517894538232805,117671.95542487393,1.3619528050767027
177.0,133713.83459333933,0.6515277701265948,116602.39552928667,1.3936833994578914
183.0,133834.50139290193,0.6492197408219507,117314.63948266293,1.4045661484507537
188.0,134334.2952764881,0.6456402281615075,118665.25787212662,1.4280644407878091
194.0,134775.44380608216,0.6462567052263578,119664.62053277942,1.4489911520325327
200.0,134775.8385964817,0.6439389925640024,119886.38421071557,1.478447539301653
205.0,136088.79913810882,0.6319106911999914,119836.35752662129,1.4818296918756546
211.0,133400.3999695591,0.6190623126334465,119999.73417473014,1.4754561009129517
217.0,134143.13230923814,0.6186102146129231,120242.20586672414,1.4949825602396651
223.0,133314.25869496068,0.598246237271665,120760.7440189092,1.4990748661054343
228.0,133349.09860239978,0.5998193985316453,120816.91286386957,1.5132789061681022
234.0,133296.74619384896,0.6001987169155084,120912.33865093393,1.5473507581174206
240.0,133338.33173649674,0.599417002559404,119590.73175553691,1.5506315906181551
245.0,133342.29988549667,0.601923120059961,119410.51723709998,1.5619992513550691
251.0,133351.55055433075,0.5418238283123082,121026.86492547291,1.5503143794195988
257.0,133369.25156001988,0.5324904980965082,122023.6397828382,1.551131364316961
263.0,133326.49627722628,0.5318252081750827,121911.38698087216,1.5734372348680157
268.0,133335.14351151776,0.5300084686912895,121763.11686843955,1.6080419155858763
274.0,133383.1038222583,0.5290193562186494,122387.87232274539,1.629070083577665
280.0,133334.30951928024,0.5288166400578074,122033.82885146662,1.5834707604314309
286.0,133343.36870047654,0.5279466076502877,122531.99666241638,1.5913455386688935
291.0,133341.84910272685,0.5273786079123756,123151.2447881077,1.6250366510295815
297.0,133388.12860865542,0.525612858015783,122953.55011345737,1.6344688195269732
303.0,133354.0629624951,0.5250110644931346,121479.7621309052,1.6314268134569307
308.0,133390.23035892556,0.5244362858349964,121351.63438419768,1.637728963344078
