Features Selected,Training RMSE Score,Training Log RMSE Score,Validation RMSE Score,Validation RMSE Score
28.0,51635.708693835986,0.4116456179210039,117553.85333848764,1.0300048642724886
34.0,57170.46695487946,0.41548288868715727,118128.47535279245,1.0301694952189686
40.0,61722.897072218126,0.4182209203048323,118370.14386655569,1.0307773551539305
45.0,64246.262015292225,0.4198740315154552,118477.77301520703,1.0311624363350793
51.0,66334.15901489626,0.4215168161168563,118549.31182921612,1.0316973459745549
57.0,67840.77463982864,0.42277296237574546,118579.20183722058,1.03221523480036
62.0,64705.80181148718,0.42816287926192603,119313.50567377332,1.06187891256643
68.0,81366.90180509996,0.4326995071558849,119956.41025753212,1.0931416236793408
74.0,51857.57833243138,0.4081391871715351,118716.24637972776,1.015724213831986
80.0,51838.473613733615,0.4146228064464371,118612.56891627985,1.0208031167929188
85.0,46729.94649784813,0.3312944379277053,119204.22517068675,1.0733561617939968
91.0,51871.691003412314,0.3467505886070296,118693.5745543607,1.0483497224318303
97.0,51865.1647807102,0.35368395678762987,119916.56600042534,1.0719842155447459
102.0,62878.89598699201,0.360127297642958,119862.7891940671,1.0558077164269148
108.0,51639.54739083781,0.3016062980616668,115266.62167308162,1.0177029641348023
114.0,51646.97866949064,0.30444473047614284,117825.6772020648,1.0585711547265433
120.0,51652.73387287741,0.3072642161489768,117569.3702458352,1.071770240291202
125.0,51555.356062588384,0.2975542895999105,112853.38707516079,0.9996303829145132
131.0,51467.62684927251,0.298429433217942,114755.25476467826,1.0230721371149736
137.0,51663.62441076507,0.3130018997530473,119235.1725300499,1.063098534402282
143.0,51712.90781238039,0.31072174700516086,119867.65556253931,1.1464485045662385
148.0,51288.02540585801,0.3021310586264708,116064.47325712668,1.1309623210254778
154.0,51510.32122815684,0.2996737421080458,116988.30934896394,1.157447025571612
160.0,51411.7950230548,0.27979238543151574,114638.51230609328,1.1995299156819912
165.0,51562.61091362193,0.2856990601777787,117676.2753284345,1.2339579476695317
171.0,51599.26826335378,0.2912101271859956,116938.66202268074,1.221455574739343
177.0,51496.11155482328,0.30010342107891885,114101.79387061542,1.2064529026046278
183.0,51556.87282441671,0.1734383916293567,114436.45508677496,1.244481880778882
188.0,51475.28606631989,0.1768019315104417,111084.96385801968,1.2685974794595634
194.0,51345.82683581095,0.1847380070057419,91551.5014693037,1.2469705932837165
200.0,51363.07140781729,0.1865116278825924,112712.28002206856,1.2484225764617662
205.0,51412.50279775097,0.19823199456438656,82366.68745869822,1.230342459439619
211.0,51450.02799041245,0.2076602180692173,100645.07472499643,1.2389135359495893
217.0,51367.66715004384,0.21519518451674693,112562.41673557542,1.2446479632010068
223.0,51299.70769692222,0.22283031751137655,113495.37914218978,1.3458034066576772
228.0,51363.721833104515,0.22724739626055443,107787.18989963923,1.3188133726877556
234.0,51350.52833336554,0.23555869341707422,108772.728072702,1.3171156028083817
240.0,51302.534879829225,0.2401653637136561,108527.5386663358,1.3232681901704786
245.0,51221.128859256394,0.25186062101611567,105244.34901344989,1.3531228788755765
251.0,51374.15250976097,0.25423952627659097,105085.46712811469,1.3596827022408724
257.0,51251.10604488075,0.25461878818173356,110875.44963188306,1.370284911334672
263.0,51344.67699959506,0.25844282707740773,102008.39938145931,1.3553155908046057
268.0,51150.079497742976,0.2595847408701572,102946.8042195847,1.361693569033476
274.0,51249.159369537236,0.2728259586655691,98079.51302206678,1.3556235469046465
280.0,51195.98213845652,0.2749080356191661,96705.99878892433,1.3617162515187289
286.0,51243.93732165138,0.277669930298334,101501.85842798717,1.3354981659141099
291.0,51259.04086891407,0.2753993679760587,110359.29514091539,1.3491593003188798
297.0,51228.42865840073,0.27511542497540237,112042.10312694483,1.3585189941715834
303.0,51238.92092285833,0.2783629073641881,111306.62502409142,1.3703380085355612
308.0,51344.01633555904,0.2792807121152671,112341.07701349526,1.3830391322213131
