Name,Stage,Features,Training RMSE,Validation RMSE,Test RMSE,Log Training RMSE,Log Validation RMSE,Log Test RMSE,Parameters
SVR with RBF Kernel,Baseline,572,60351.779013708976,161117.21291943995,1207.1138056500818,0.2791185414112881,1.8466942831016209,1.541518709705898,"{'C': 51, 'epsilon': 0.1, 'gamma': 'scale'}"
SVR with RBF Kernel,Feature Selection,125,60447.60711575488,160645.18142770816,1009.2969593797504,0.20024435503558163,1.1139814320183155,1.0604181740411351,"{'C': 41, 'epsilon': 0.1, 'gamma': 'scale'}"
SVR with RBF Kernel,SFS-PCA w/75% variance,10,271987.7083387277,269913.4995892032,1235.54060021974,1.416795574385245,1.6008193007247136,1.4227442070965366,"{'C': 26, 'epsilon': 0.7000000000000001, 'gamma': 'auto'}"
SVR with RBF Kernel,SFS-PCA w/80% variance,12,266499.0907907282,189129.99283289924,1273.700736174936,1.512627380745815,1.6383831596272702,1.4975896529836572,"{'C': 21, 'epsilon': 0.30000000000000004, 'gamma': 'auto'}"
SVR with RBF Kernel,SFS-PCA w/85% variance,14,183639.38513927095,284898.6341851288,1180.7834944828369,0.7525680622833757,1.8556663305313894,1.1148911478956671,"{'C': 21, 'epsilon': 0.4, 'gamma': 'scale'}"
SVR with RBF Kernel,SFS-PCA w/90% variance,16,96801.13633595247,172026.24416699662,938.6709499892995,0.5624358199410302,1.5517226651392926,1.1487842373522994,"{'C': 21, 'epsilon': 0.1, 'gamma': 'scale'}"
SVR with RBF Kernel,SFS-PCA w/95% variance,21,28786.48674881434,161279.08883838414,899.5020484614713,0.24208994989439142,1.427066800510922,1.0202448919819957,"{'C': 96, 'epsilon': 0.2, 'gamma': 'scale'}"
SVR with RBF Kernel,SFS-PCA w/100% variance,53,60466.871242938796,161043.31614110334,1122.2992185367964,0.1992128794013403,1.3014887040666103,1.0966049371772577,"{'C': 26, 'epsilon': 0.1, 'gamma': 'scale'}"
SVR with Linear Kernel,Baseline,572,232445.69954011362,155781.82162568794,1207.3535216949374,0.7152671048806227,1.9515534116863928,1.4701225126920867,"{'C': 6, 'epsilon': 0.8, 'gamma': 'scale'}"
SVR with Linear Kernel,Feature Selection,51,29585.53907307568,41309.54542327461,1082.7855032061939,0.7784828751984203,1.1490643876943407,1.2208176287591779,"{'C': 6, 'epsilon': 0.2, 'gamma': 'scale'}"
SVR with Linear Kernel,SFS-PCA w/75% variance,7,74836.54360004692,125688.71887170337,571181.293643348,1.1891021160837334,1.75874049279942,3.6085940951959627,"{'C': 91, 'epsilon': 0.7000000000000001, 'gamma': 'scale'}"
SVR with Linear Kernel,SFS-PCA w/80% variance,8,111418.25943772076,147845.3144869231,527737.9541407215,1.1899296802350734,1.6971255238341842,2.9912138455648654,"{'C': 16, 'epsilon': 0.9, 'gamma': 'scale'}"
SVR with Linear Kernel,SFS-PCA w/85% variance,10,96837.66605836517,158621.73719419522,1210.5074001929222,1.3624210519606654,1.5130884008657448,1.3936808638353515,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale'}"
SVR with Linear Kernel,SFS-PCA w/90% variance,12,140230.7182259467,36597.776274246,248825.42798394134,1.050131299777663,1.349192430029801,2.114569637143267,"{'C': 6, 'epsilon': 0.9, 'gamma': 'scale'}"
SVR with Linear Kernel,SFS-PCA w/95% variance,14,78677.14643097305,104829.8185045696,1223.3360288450392,0.9917846601712264,1.3509453017853612,1.3898300558589394,"{'C': 6, 'epsilon': 0.7000000000000001, 'gamma': 'scale'}"
SVR with Linear Kernel,SFS-PCA w/100% variance,51,29576.558075096586,41370.45315700055,1081.961514914215,0.7785115482310638,1.149089078243183,1.220838660710138,"{'C': 6, 'epsilon': 0.2, 'gamma': 'scale'}"
Lasso Regression,Baseline,572,260645.51548956864,160791.04374090803,1209.9981833108964,1.139783442097753,1.8869021891423265,1.8020836613974975,"{'alpha': 0.1, 'selection': 'cyclic'}"
Lasso Regression,Feature Selection,28,264360.8293466124,160931.69135394535,1194.499958713051,1.388375414711242,1.7284574998858904,1.1068677711971457,"{'alpha': 0.1, 'selection': 'cyclic'}"
Lasso Regression,SFS-PCA w/75% variance,8,263004.05868098023,160509.01077313296,1192.9325868759347,1.302114365471773,1.5374953000640321,1.015227567940278,"{'alpha': 0.1, 'selection': 'cyclic'}"
Lasso Regression,SFS-PCA w/80% variance,9,263023.0943810642,160532.38914460214,1193.0075703283778,1.2935159905157034,1.5401483311084312,1.013740961827292,"{'alpha': 0.1, 'selection': 'cyclic'}"
Lasso Regression,SFS-PCA w/85% variance,11,263023.0943810642,160532.38914460214,1193.0075703283778,1.2935159905157034,1.5401483311084312,1.013740961827292,"{'alpha': 0.1, 'selection': 'cyclic'}"
Lasso Regression,SFS-PCA w/90% variance,13,263023.838129576,160532.97478053518,1193.0092588406392,1.293531134021147,1.5401818568440149,1.0137517871878654,"{'alpha': 0.1, 'selection': 'random'}"
Lasso Regression,SFS-PCA w/95% variance,16,263020.28264864965,160533.83392233428,1192.9383386452678,1.2854828174483814,1.5371177744279092,1.014584860944115,"{'alpha': 0.1, 'selection': 'cyclic'}"
Lasso Regression,SFS-PCA w/100% variance,27,263020.790349236,160534.50926880474,1192.9450444512281,1.2854857413292438,1.5371342668695864,1.0146020584611044,"{'alpha': 0.1, 'selection': 'random'}"
