,Classification Model,Regression Model,Training RMSE,Validation RMSE,Log Training RMSE,Log Validation RMSE,Trimmed Training RMSE,Trimmed Validation RMSE,Trimmed Log Training RMSE,Trimmed Log Validation RMSE,Training MCC,Validation MCC
0,SVC with RBF Kernel,SVR with RBF Kernel,3131431.860248751,1709998.553371943,1.5084189263004604,1.809793046993235,210445.8702801519,126197.17308932189,1.1910528919873653,1.6416687506992205,0.7909473903667082,0.6202324664923587
1,SVC with RBF Kernel,SVR with Linear Kernel,3131430.8273575595,1710001.6583877332,1.582990751312179,1.8173402811688284,210427.08988214523,126192.3005388267,1.2901568947080062,1.6385447866744012,0.7909473903667082,0.6202324664923587
2,SVC with RBF Kernel,Lasso Regression,3131432.7712903535,1710002.5929899495,1.794749241391384,1.88737135402356,210451.00924941938,126203.4159154954,1.565475844591206,1.7364958759538531,0.7909473903667082,0.6202324664923587
3,XGBoost Classifier,SVR with RBF Kernel,3131432.261989212,1709963.0098073483,1.2596379406979257,1.9251979649113564,210.57326683380256,200066.6947689675,0.3907245559467136,1.8270945673366505,0.9489633849542166,0.5607847760241876
4,XGBoost Classifier,SVR with Linear Kernel,3131432.2619868433,1709984.281977841,1.259897151569333,2.017113605772793,210.54006573807024,200089.92256997514,0.3911832307600295,1.9452354999336599,0.9489633849542166,0.5607847760241876
5,XGBoost Classifier,Lasso Regression,3131432.2896148907,1710003.3012409806,1.6130361169585221,2.0150622272893686,483.588293085457,200110.47638093185,1.1459156678123954,1.9154753062292453,0.9489633849542166,0.5607847760241876
6,Random Forest Classifier,SVR with RBF Kernel,3131432.2382990723,1710001.4678390909,1.3755398848168927,2.180766343962488,95050.37580318919,201744.83483778307,0.8607719680012444,2.1413772398788558,0.9365611352832882,0.4184681584469147
7,Random Forest Classifier,SVR with Linear Kernel,3131427.807829625,1709999.99920568,1.3374169844769983,1.898491537269735,903739.6851327978,1687743.7473560001,0.85192147414012,1.861430526364265,0.919086529241125,0.3479659030690058
8,Random Forest Classifier,Lasso Regression,3131432.397452085,1710003.0601999282,1.4590237896773406,2.262775530380254,48992.93560954277,1763052.635149708,0.91026469873452,2.2586126433723934,0.9884813825864806,0.297532594475988
9,KNN Classifier,SVR with RBF Kernel,3131432.2903455216,1710000.0206390477,1.4002056493287507,1.993209842209886,480.2211284264862,83716.87902476607,0.7621403946070047,1.793764368188273,0.9771958965413365,0.6794122583463174
10,KNN Classifier,SVR with Linear Kernel,3131432.290975269,1709999.9745037921,1.4172162018524876,1.9347895866603806,483.7586146629358,83716.39639915808,0.7970004946865922,1.7279127315022937,0.9771958965413365,0.6794122583463174
11,KNN Classifier,Lasso Regression,3131432.2915872876,1710001.6062218915,1.4780694934328278,1.9443710397387097,486.95880853044207,83719.41910922165,0.9143971613291357,1.741577316135166,0.9771958965413365,0.6794122583463174
