2022-11-24 11:37:28,070 | INFO | Threshold of 0.50 provides Large bucket size: 34, Small Bucket size: 30, Extra Bucket size: 9

2022-11-24 11:37:28,077 | INFO | SVC with RBF Kernel Results:

2022-11-24 11:37:28,078 | INFO | GridSearchCV Starting
2022-11-24 11:37:34,997 | INFO | Best parameter set: {'C': 36, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 0.0001}
2022-11-24 11:37:34,997 | INFO | -------------------------

2022-11-24 11:37:34,998 | INFO | Train MCC Score: 0.374.  StDev for Train MCC: 0.034.  Test MCC Score: 0.171.  StDev for Test MCC: 0.177.

2022-11-24 11:37:34,998 | INFO | Training:
2022-11-24 11:37:35,003 | INFO | Training Finished.
2022-11-24 11:37:35,012 | INFO | Training Accuracy: 0.517, Training MCC: 0.376, Validation Accuracy: 0.400, Validation MCC: 0.000, Fold: 1
2022-11-24 11:37:35,012 | INFO | Training:
2022-11-24 11:37:35,016 | INFO | Training Finished.
2022-11-24 11:37:35,023 | INFO | Training Accuracy: 0.517, Training MCC: 0.371, Validation Accuracy: 0.400, Validation MCC: 0.095, Fold: 2
2022-11-24 11:37:35,023 | INFO | Training:
2022-11-24 11:37:35,028 | INFO | Training Finished.
2022-11-24 11:37:35,035 | INFO | Training Accuracy: 0.517, Training MCC: 0.371, Validation Accuracy: 0.533, Validation MCC: 0.452, Fold: 3
2022-11-24 11:37:35,035 | INFO | Training:
2022-11-24 11:37:35,039 | INFO | Training Finished.
2022-11-24 11:37:35,045 | INFO | Training Accuracy: 0.534, Training MCC: 0.409, Validation Accuracy: 0.467, Validation MCC: 0.308, Fold: 4
2022-11-24 11:37:35,045 | INFO | Training:
2022-11-24 11:37:35,049 | INFO | Training Finished.
2022-11-24 11:37:35,056 | INFO | Training Accuracy: 0.534, Training MCC: 0.411, Validation Accuracy: 0.400, Validation MCC: 0.000, Fold: 5
2022-11-24 11:37:35,056 | INFO | AVG Training Accuracy: 0.524, AVG Training MCC: 0.388, AVG Validation Accuracy: 0.440, AVG Validation MCC: 0.171

2022-11-24 11:37:35,057 | INFO | Forward Selection Starting
2022-11-24 12:37:32,038 | INFO | Forward Selection Finished
2022-11-24 12:37:32,042 | INFO | SFS only results:

2022-11-24 12:37:32,042 | INFO | GridSearchCV Starting
2022-11-24 12:37:32,998 | INFO | Best parameter set: {'C': 91, 'break_ties': True, 'class_weight': None, 'gamma': 'scale'}
2022-11-24 12:37:32,998 | INFO | -------------------------

2022-11-24 12:37:32,999 | INFO | Train MCC Score: 0.983.  StDev for Train MCC: 0.014.  Test MCC Score: 0.287.  StDev for Test MCC: 0.348.

2022-11-24 12:37:32,999 | INFO | Training:
2022-11-24 12:37:33,001 | INFO | Training Finished.
2022-11-24 12:37:33,003 | INFO | Training Accuracy: 1.000, Training MCC: 1.000, Validation Accuracy: 0.667, Validation MCC: 0.446, Fold: 1
2022-11-24 12:37:33,003 | INFO | Training:
2022-11-24 12:37:33,004 | INFO | Training Finished.
2022-11-24 12:37:33,006 | INFO | Training Accuracy: 0.983, Training MCC: 0.972, Validation Accuracy: 0.800, Validation MCC: 0.662, Fold: 2
2022-11-24 12:37:33,006 | INFO | Training:
2022-11-24 12:37:33,007 | INFO | Training Finished.
2022-11-24 12:37:33,008 | INFO | Training Accuracy: 1.000, Training MCC: 1.000, Validation Accuracy: 0.467, Validation MCC: 0.050, Fold: 3
2022-11-24 12:37:33,009 | INFO | Training:
2022-11-24 12:37:33,010 | INFO | Training Finished.
2022-11-24 12:37:33,011 | INFO | Training Accuracy: 0.983, Training MCC: 0.972, Validation Accuracy: 0.533, Validation MCC: 0.178, Fold: 4
2022-11-24 12:37:33,011 | INFO | Training:
2022-11-24 12:37:33,012 | INFO | Training Finished.
2022-11-24 12:37:33,014 | INFO | Training Accuracy: 0.983, Training MCC: 0.972, Validation Accuracy: 0.667, Validation MCC: 0.485, Fold: 5
2022-11-24 12:37:33,014 | INFO | AVG Training Accuracy: 0.990, AVG Training MCC: 0.983, AVG Validation Accuracy: 0.627, AVG Validation MCC: 0.364

2022-11-24 12:37:33,016 | INFO | Results after PCA:
2022-11-24 12:37:33,016 | INFO | ------------------

2022-11-24 12:37:33,016 | INFO | PCA Starting
2022-11-24 12:37:33,018 | INFO | Selecting 5 principal components making up 75% of the variance.

2022-11-24 12:37:33,019 | INFO | PCA Finished
2022-11-24 12:37:33,019 | INFO | GridSearchCV Starting
2022-11-24 12:37:34,020 | INFO | Best parameter set: {'C': 71, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 0.001}
2022-11-24 12:37:34,020 | INFO | -------------------------

2022-11-24 12:37:34,020 | INFO | Train MCC Score: 0.314.  StDev for Train MCC: 0.105.  Test MCC Score: 0.285.  StDev for Test MCC: 0.065.

2022-11-24 12:37:34,020 | INFO | Training:
2022-11-24 12:37:34,022 | INFO | Training Finished.
2022-11-24 12:37:34,023 | INFO | Training Accuracy: 0.603, Training MCC: 0.376, Validation Accuracy: 0.467, Validation MCC: 0.121, Fold: 1
2022-11-24 12:37:34,023 | INFO | Training:
2022-11-24 12:37:34,024 | INFO | Training Finished.
2022-11-24 12:37:34,026 | INFO | Training Accuracy: 0.552, Training MCC: 0.315, Validation Accuracy: 0.600, Validation MCC: 0.336, Fold: 2
2022-11-24 12:37:34,026 | INFO | Training:
2022-11-24 12:37:34,027 | INFO | Training Finished.
2022-11-24 12:37:34,028 | INFO | Training Accuracy: 0.345, Training MCC: 0.111, Validation Accuracy: 0.333, Validation MCC: 0.105, Fold: 3
2022-11-24 12:37:34,028 | INFO | Training:
2022-11-24 12:37:34,030 | INFO | Training Finished.
2022-11-24 12:37:34,031 | INFO | Training Accuracy: 0.517, Training MCC: 0.307, Validation Accuracy: 0.333, Validation MCC: -0.041, Fold: 4
2022-11-24 12:37:34,031 | INFO | Training:
2022-11-24 12:37:34,032 | INFO | Training Finished.
2022-11-24 12:37:34,033 | INFO | Training Accuracy: 0.534, Training MCC: 0.284, Validation Accuracy: 0.467, Validation MCC: 0.037, Fold: 5
2022-11-24 12:37:34,034 | INFO | AVG Training Accuracy: 0.510, AVG Training MCC: 0.279, AVG Validation Accuracy: 0.440, AVG Validation MCC: 0.112

2022-11-24 12:37:34,035 | INFO | PCA Starting
2022-11-24 12:37:34,036 | INFO | Selecting 7 principal components making up 80% of the variance.

2022-11-24 12:37:34,036 | INFO | PCA Finished
2022-11-24 12:37:34,036 | INFO | GridSearchCV Starting
2022-11-24 12:37:34,969 | INFO | Best parameter set: {'C': 66, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 'scale'}
2022-11-24 12:37:34,969 | INFO | -------------------------

2022-11-24 12:37:34,970 | INFO | Train MCC Score: 0.926.  StDev for Train MCC: 0.015.  Test MCC Score: 0.177.  StDev for Test MCC: 0.314.

2022-11-24 12:37:34,970 | INFO | Training:
2022-11-24 12:37:34,971 | INFO | Training Finished.
2022-11-24 12:37:34,973 | INFO | Training Accuracy: 0.948, Training MCC: 0.914, Validation Accuracy: 0.667, Validation MCC: 0.421, Fold: 1
2022-11-24 12:37:34,973 | INFO | Training:
2022-11-24 12:37:34,974 | INFO | Training Finished.
2022-11-24 12:37:34,975 | INFO | Training Accuracy: 0.931, Training MCC: 0.887, Validation Accuracy: 0.533, Validation MCC: 0.186, Fold: 2
2022-11-24 12:37:34,975 | INFO | Training:
2022-11-24 12:37:34,976 | INFO | Training Finished.
2022-11-24 12:37:34,978 | INFO | Training Accuracy: 0.966, Training MCC: 0.944, Validation Accuracy: 0.467, Validation MCC: 0.079, Fold: 3
2022-11-24 12:37:34,978 | INFO | Training:
2022-11-24 12:37:34,979 | INFO | Training Finished.
2022-11-24 12:37:34,980 | INFO | Training Accuracy: 0.966, Training MCC: 0.942, Validation Accuracy: 0.667, Validation MCC: 0.431, Fold: 4
2022-11-24 12:37:34,980 | INFO | Training:
2022-11-24 12:37:34,981 | INFO | Training Finished.
2022-11-24 12:37:34,983 | INFO | Training Accuracy: 0.914, Training MCC: 0.856, Validation Accuracy: 0.467, Validation MCC: 0.065, Fold: 5
2022-11-24 12:37:34,983 | INFO | AVG Training Accuracy: 0.945, AVG Training MCC: 0.909, AVG Validation Accuracy: 0.560, AVG Validation MCC: 0.237

2022-11-24 12:37:34,983 | INFO | PCA Starting
2022-11-24 12:37:34,985 | INFO | Selecting 8 principal components making up 85% of the variance.

2022-11-24 12:37:34,985 | INFO | PCA Finished
2022-11-24 12:37:34,985 | INFO | GridSearchCV Starting
2022-11-24 12:37:35,908 | INFO | Best parameter set: {'C': 6, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 'scale'}
2022-11-24 12:37:35,909 | INFO | -------------------------

2022-11-24 12:37:35,909 | INFO | Train MCC Score: 0.837.  StDev for Train MCC: 0.023.  Test MCC Score: 0.274.  StDev for Test MCC: 0.175.

2022-11-24 12:37:35,909 | INFO | Training:
2022-11-24 12:37:35,911 | INFO | Training Finished.
2022-11-24 12:37:35,912 | INFO | Training Accuracy: 0.845, Training MCC: 0.756, Validation Accuracy: 0.800, Validation MCC: 0.664, Fold: 1
2022-11-24 12:37:35,912 | INFO | Training:
2022-11-24 12:37:35,913 | INFO | Training Finished.
2022-11-24 12:37:35,915 | INFO | Training Accuracy: 0.862, Training MCC: 0.771, Validation Accuracy: 0.800, Validation MCC: 0.665, Fold: 2
2022-11-24 12:37:35,915 | INFO | Training:
2022-11-24 12:37:35,916 | INFO | Training Finished.
2022-11-24 12:37:35,917 | INFO | Training Accuracy: 0.914, Training MCC: 0.860, Validation Accuracy: 0.400, Validation MCC: 0.000, Fold: 3
2022-11-24 12:37:35,917 | INFO | Training:
2022-11-24 12:37:35,918 | INFO | Training Finished.
