,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_break_ties,param_class_weight,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
85,0.0005003929138183594,2.78041453115716e-07,0.0009007930755615234,0.00020029552634761794,100,True,,0.01,"{'C': 100, 'break_ties': True, 'class_weight': None, 'gamma': 0.01}",0.33035714285714285,0.1466471150213533,0.49493401319706737,0.5346670861496433,0.4033968592300195,0.3820004432910452,0.1375333568817357,17,0.8121244068623129,0.8359235311216594,0.7973483953602708,0.7795300964047328,0.8050396227691035,0.8059932105036159,0.018489749740482186
73,0.0007005214691162109,0.00024504811412102935,0.0009365081787109375,0.00012826928418805205,100,False,,0.01,"{'C': 100, 'break_ties': False, 'class_weight': None, 'gamma': 0.01}",0.33035714285714285,0.1466471150213533,0.49493401319706737,0.554051251343814,0.4033968592300195,0.3858772763298794,0.14198334325802825,16,0.8121244068623129,0.8359235311216594,0.7616843814045382,0.7795300964047328,0.8050396227691035,0.7988604077124692,0.02585927050908448
122,0.0007005214691162109,0.000245048067727345,0.0008007526397705078,0.00024500914961080386,500,False,,0.001,"{'C': 500, 'break_ties': False, 'class_weight': None, 'gamma': 0.001}",0.33035714285714285,0.11879774082787287,0.49493401319706737,0.554051251343814,0.3137254901960784,0.3623731276843951,0.1529924680874567,30,0.7820234281053703,0.6938982807418989,0.5814110372475652,0.6813182342430703,0.5988061685578979,0.6674914297791605,0.07229603035779075
61,0.0006005287170410157,0.00020017629580703662,0.0009009361267089844,0.00020012869731506297,50,True,,0.01,"{'C': 50, 'break_ties': True, 'class_weight': None, 'gamma': 0.01}",0.33035714285714285,0.11879774082787287,0.49493401319706737,0.554051251343814,0.3137254901960784,0.3623731276843951,0.1529924680874567,30,0.7820234281053703,0.7304311855877919,0.5777495309802901,0.6813182342430703,0.6364241305530077,0.6815893018939061,0.07112693936047532
49,0.0007006645202636719,0.0002453205719175696,0.0009006977081298829,0.00020012864050819048,50,False,,0.01,"{'C': 50, 'break_ties': False, 'class_weight': None, 'gamma': 0.01}",0.33035714285714285,0.11879774082787287,0.49493401319706737,0.554051251343814,0.3137254901960784,0.3623731276843951,0.1529924680874567,30,0.7820234281053703,0.7304311855877919,0.5814110372475652,0.6813182342430703,0.5988061685578979,0.6747980107483391,0.07632920867355963
48,0.0008008480072021484,0.0002451844086856641,0.0008008956909179687,0.0002450285816033241,50,False,,0.1,"{'C': 50, 'break_ties': False, 'class_weight': None, 'gamma': 0.1}",0.24608103457202238,0.11879774082787287,0.5443996397334733,0.554051251343814,0.37424059428255985,0.36751405215194854,0.16895896864189427,27,0.9024397572846347,0.8662571126873275,0.9022981552263626,0.8715897421152395,0.9357997823721437,0.8956769099371416,0.025080422682888005
29,0.0005294322967529297,5.798477089663016e-05,0.000571441650390625,0.0002218774280089414,10,False,,auto,"{'C': 10, 'break_ties': False, 'class_weight': None, 'gamma': 'auto'}",0.33035714285714285,0.1466471150213533,0.6576329718015582,0.5346670861496433,0.5378624789733593,0.4414333589606114,0.18109126487174765,3,0.8121244068623129,0.8036420774175239,0.8036420774175239,0.7738476264890893,0.8050396227691035,0.7996591621911108,0.013283781716383187
24,0.0007006168365478515,0.0002451648684780419,0.0009007930755615234,0.00020005705103432543,10,False,,0.1,"{'C': 10, 'break_ties': False, 'class_weight': None, 'gamma': 0.1}",0.33035714285714285,0.1466471150213533,0.6576329718015582,0.5346670861496433,0.5378624789733593,0.4414333589606114,0.18109126487174765,3,0.8375500894631422,0.8036420774175239,0.8036420774175239,0.7738476264890893,0.8397953157367798,0.8116954373048119,0.024577372522752362
41,0.0006004810333251953,0.00019972332198137032,0.0007003307342529297,0.00024520428115811573,10,True,,auto,"{'C': 10, 'break_ties': True, 'class_weight': None, 'gamma': 'auto'}",0.33035714285714285,0.1466471150213533,0.6576329718015582,0.5346670861496433,0.5378624789733593,0.4414333589606114,0.18109126487174765,3,0.8121244068623129,0.8036420774175239,0.8036420774175239,0.7738476264890893,0.8050396227691035,0.7996591621911108,0.013283781716383187
36,0.0008007049560546875,0.0002450675151899575,0.0010009288787841796,4.6231077741778654e-07,10,True,,0.1,"{'C': 10, 'break_ties': True, 'class_weight': None, 'gamma': 0.1}",0.33035714285714285,0.1466471150213533,0.6576329718015582,0.5346670861496433,0.5378624789733593,0.4414333589606114,0.18109126487174765,3,0.8375500894631422,0.8036420774175239,0.8036420774175239,0.7738476264890893,0.8397953157367798,0.8116954373048119,0.024577372522752362
