,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_break_ties,param_class_weight,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
7,0.006905984878540039,0.0011145256125067381,0.006905937194824218,0.0007353452768595821,1,False,balanced,0.01,"{'C': 1, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 0.01}",0.07034685744158127,0.33942211665106536,0.3733643283161719,0.13129303902760125,0.48553038055886144,0.27999134439905626,0.15527963365075487,92,0.6819782048655684,0.75099161970545,0.7365719827106416,0.6483201275311696,0.5712021147967209,0.6778128099219101,0.06490113671248804
19,0.0070059776306152345,0.000316808375868034,0.00980844497680664,0.006866534332970354,1,True,balanced,0.01,"{'C': 1, 'break_ties': True, 'class_weight': 'balanced', 'gamma': 0.01}",0.07034685744158127,0.33942211665106536,0.3733643283161719,0.13129303902760125,0.48553038055886144,0.27999134439905626,0.15527963365075487,92,0.6819782048655684,0.75099161970545,0.7365719827106416,0.6483201275311696,0.5712021147967209,0.6778128099219101,0.06490113671248804
393,0.0072062969207763675,0.00024500910320974145,0.00610508918762207,0.0004904368018962439,81,False,balanced,0.0001,"{'C': 81, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 0.0001}",0.07034685744158127,0.33942211665106536,0.4220811446494876,0.13129303902760125,0.48553038055886144,0.2897347076657194,0.1622067536845824,82,0.6623103694164437,0.7266655744858547,0.7365719827106416,0.6033894493178743,0.5309796238703293,0.6519833999602287,0.07725618122687039
405,0.006805944442749024,0.00040009022824606964,0.006120014190673828,0.0002294541891673075,81,True,balanced,0.0001,"{'C': 81, 'break_ties': True, 'class_weight': 'balanced', 'gamma': 0.0001}",0.07034685744158127,0.33942211665106536,0.4220811446494876,0.13129303902760125,0.48553038055886144,0.2897347076657194,0.1622067536845824,82,0.6623103694164437,0.7266655744858547,0.7365719827106416,0.6033894493178743,0.5309796238703293,0.6519833999602287,0.07725618122687039
134,0.006705570220947266,0.0005105757869126995,0.006305408477783203,0.0002454374653232016,26,True,,0.001,"{'C': 26, 'break_ties': True, 'class_weight': None, 'gamma': 0.001}",0.04120428217151646,0.33942211665106536,0.33942211665106536,0.3488372093023256,0.575649675601062,0.3289070800754069,0.16986650665027547,21,0.933804358978755,0.8014632045468768,0.699454637990666,0.8770362737837162,0.7429736263787707,0.8109464203357568,0.08556002740401841
122,0.007706689834594727,0.0021605481293203704,0.008006763458251954,0.0029007388264872935,26,False,,0.001,"{'C': 26, 'break_ties': False, 'class_weight': None, 'gamma': 0.001}",0.04120428217151646,0.33942211665106536,0.33942211665106536,0.3488372093023256,0.575649675601062,0.3289070800754069,0.16986650665027547,21,0.933804358978755,0.8014632045468768,0.699454637990666,0.8770362737837162,0.7429736263787707,0.8109464203357568,0.08556002740401841
89,0.008307218551635742,0.001692350462713549,0.006905889511108399,0.0013201119956502017,16,True,,auto,"{'C': 16, 'break_ties': True, 'class_weight': None, 'gamma': 'auto'}",0.03225806451612903,0.33942211665106536,0.33942211665106536,0.3488372093023256,0.575649675601062,0.3271178365443294,0.17290742144646928,23,0.933804358978755,0.8014632045468768,0.8014632045468768,0.8770362737837162,0.7768314507948982,0.8381196985302246,0.05850418871735664
77,0.01130976676940918,0.008876611047131258,0.00660548210144043,0.0012009859309903494,16,False,,auto,"{'C': 16, 'break_ties': False, 'class_weight': None, 'gamma': 'auto'}",0.03225806451612903,0.33942211665106536,0.33942211665106536,0.3488372093023256,0.575649675601062,0.3271178365443294,0.17290742144646928,23,0.933804358978755,0.8014632045468768,0.8014632045468768,0.8770362737837162,0.7768314507948982,0.8381196985302246,0.05850418871735664
44,0.007506608963012695,0.001266006857654902,0.007506561279296875,0.0018989757307049993,6,True,balanced,0.001,"{'C': 6, 'break_ties': True, 'class_weight': 'balanced', 'gamma': 0.001}",0.03225806451612903,0.33942211665106536,0.4220811446494876,0.11744739098372006,0.48553038055886144,0.2793478194718527,0.17536137975219027,94,0.7933240300651132,0.7266655744858547,0.7185854363208832,0.5615405490534671,0.5309796238703293,0.6662190427591295,0.10178309057635805
32,0.007806825637817383,0.0014363952624168645,0.00780634880065918,0.0020165612347919767,6,False,balanced,0.001,"{'C': 6, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 0.001}",0.03225806451612903,0.33942211665106536,0.4220811446494876,0.11744739098372006,0.48553038055886144,0.2793478194718527,0.17536137975219027,94,0.7933240300651132,0.7266655744858547,0.7185854363208832,0.5615405490534671,0.5309796238703293,0.6662190427591295,0.10178309057635805
158,0.007606649398803711,0.0013200939277424354,0.006505537033081055,0.0007754639460985812,31,True,,0.001,"{'C': 31, 'break_ties': True, 'class_weight': None, 'gamma': 0.001}",0.03225806451612903,0.33942211665106536,0.49813548138671787,0.3488372093023256,0.575649675601062,0.3588605094914599,0.18630219272229975,9,0.933804358978755,0.8014632045468768,0.834404865555095,0.8770362737837162,0.8400625389022855,0.8573542483533456,0.045125353636323404
146,0.006405401229858399,0.0005834454723407594,0.008107137680053712,0.003710023410114866,31,False,,0.001,"{'C': 31, 'break_ties': False, 'class_weight': None, 'gamma': 0.001}",0.03225806451612903,0.33942211665106536,0.49813548138671787,0.3488372093023256,0.575649675601062,0.3588605094914599,0.18630219272229975,9,0.933804358978755,0.8014632045468768,0.834404865555095,0.8770362737837162,0.8400625389022855,0.8573542483533456,0.045125353636323404
230,0.009908485412597656,0.006581394986188909,0.014212274551391601,0.010001593384507864,46,True,,0.001,"{'C': 46, 'break_ties': True, 'class_weight': None, 'gamma': 0.001}",0.03225806451612903,0.33942211665106536,0.3296342573721317,0.3488372093023256,0.6251156015916666,0.33505344988666363,0.18764836379455246,19,0.9670691615059425,0.834404865555095,0.900937462695559,0.8770362737837162,0.8718992204470815,0.8902693967974787,0.043921375807354925
218,0.007606363296508789,0.0007351181140014862,0.006405878067016602,0.0008005861781039133,46,False,,0.001,"{'C': 46, 'break_ties': False, 'class_weight': None, 'gamma': 0.001}",0.03225806451612903,0.33942211665106536,0.3296342573721317,0.3488372093023256,0.6251156015916666,0.33505344988666363,0.18764836379455246,19,0.9670691615059425,0.834404865555095,0.900937462695559,0.8770362737837162,0.8718992204470815,0.8902693967974787,0.043921375807354925
278,0.006705713272094726,0.00024512595035412386,0.008206748962402343,0.004158170823656641,56,True,,0.001,"{'C': 56, 'break_ties': True, 'class_weight': None, 'gamma': 0.001}",0.03225806451612903,0.33942211665106536,0.20377359689625746,0.3488372093023256,0.6251156015916666,0.3098813177914888,0.19498532927194903,29,0.9670691615059425,0.8683325963286448,0.900937462695559,0.8770362737837162,0.904205545176504,0.9035162078980733,0.03459819781074157
266,0.006705522537231445,0.000509986759204039,0.006676006317138672,0.001215781411618403,56,False,,0.001,"{'C': 56, 'break_ties': False, 'class_weight': None, 'gamma': 0.001}",0.03225806451612903,0.33942211665106536,0.20377359689625746,0.3488372093023256,0.6251156015916666,0.3098813177914888,0.19498532927194903,29,0.9670691615059425,0.8683325963286448,0.900937462695559,0.8770362737837162,0.904205545176504,0.9035162078980733,0.03459819781074157
254,0.006405305862426758,0.00020024789942343872,0.006505918502807617,0.0003165820757009817,51,True,,0.001,"{'C': 51, 'break_ties': True, 'class_weight': None, 'gamma': 0.001}",0.03225806451612903,0.33942211665106536,0.20377359689625746,0.3488372093023256,0.6251156015916666,0.3098813177914888,0.19498532927194903,29,0.9670691615059425,0.8683325963286448,0.900937462695559,0.8770362737837162,0.904205545176504,0.9035162078980733,0.03459819781074157
161,0.00760650634765625,0.0007355205205112397,0.006405305862426758,0.0005837973509722809,31,True,,auto,"{'C': 31, 'break_ties': True, 'class_weight': None, 'gamma': 'auto'}",0.03225806451612903,0.33942211665106536,0.20377359689625746,0.3488372093023256,0.6251156015916666,0.3098813177914888,0.19498532927194903,29,0.9670691615059425,0.8683325963286448,0.900937462695559,0.8770362737837162,0.904205545176504,0.9035162078980733,0.03459819781074157
149,0.006705856323242188,0.0005103699861037272,0.007406282424926758,0.0013577140695938878,31,False,,auto,"{'C': 31, 'break_ties': False, 'class_weight': None, 'gamma': 'auto'}",0.03225806451612903,0.33942211665106536,0.20377359689625746,0.3488372093023256,0.6251156015916666,0.3098813177914888,0.19498532927194903,29,0.9670691615059425,0.8683325963286448,0.900937462695559,0.8770362737837162,0.904205545176504,0.9035162078980733,0.03459819781074157
242,0.0074062347412109375,0.000970287085662073,0.006637430191040039,0.0005535214091186587,51,False,,0.001,"{'C': 51, 'break_ties': False, 'class_weight': None, 'gamma': 0.001}",0.03225806451612903,0.33942211665106536,0.20377359689625746,0.3488372093023256,0.6251156015916666,0.3098813177914888,0.19498532927194903,29,0.9670691615059425,0.8683325963286448,0.900937462695559,0.8770362737837162,0.904205545176504,0.9035162078980733,0.03459819781074157
369,0.007406759262084961,0.0010687603386077807,0.007105731964111328,0.0010684745324758159,76,False,balanced,0.0001,"{'C': 76, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 0.0001}",0.07034685744158127,0.6350006350009525,0.4220811446494876,0.13129303902760125,0.48553038055886144,0.34885041133569683,0.21485881158074596,15,0.6623103694164437,0.7266655744858547,0.7365719827106416,0.6033894493178743,0.5309796238703293,0.6519833999602287,0.07725618122687039
381,0.014612722396850585,0.013574381043713717,0.006605339050292969,0.000970144439238334,76,True,balanced,0.0001,"{'C': 76, 'break_ties': True, 'class_weight': 'balanced', 'gamma': 0.0001}",0.07034685744158127,0.6350006350009525,0.4220811446494876,0.13129303902760125,0.48553038055886144,0.34885041133569683,0.21485881158074596,15,0.6623103694164437,0.7266655744858547,0.7365719827106416,0.6033894493178743,0.5309796238703293,0.6519833999602287,0.07725618122687039
206,0.006603050231933594,0.0004909265238755453,0.006308269500732422,0.00024772318647566107,41,True,,0.001,"{'C': 41, 'break_ties': True, 'class_weight': None, 'gamma': 0.001}",0.03225806451612903,0.33942211665106536,0.3296342573721317,0.3488372093023256,0.7301460438146051,0.35605953833125137,0.22172747657434225,11,0.9670691615059425,0.834404865555095,0.8674665452966515,0.8770362737837162,0.8400625389022855,0.8772078770087381,0.04771131391027211
194,0.0074061393737792965,0.0004903491709026313,0.007706737518310547,0.0017795326534412624,41,False,,0.001,"{'C': 41, 'break_ties': False, 'class_weight': None, 'gamma': 0.001}",0.03225806451612903,0.33942211665106536,0.3296342573721317,0.3488372093023256,0.7301460438146051,0.35605953833125137,0.22172747657434225,11,0.9670691615059425,0.834404865555095,0.8674665452966515,0.8770362737837162,0.8400625389022855,0.8772078770087381,0.04771131391027211
137,0.009808540344238281,0.004785552085160839,0.007306194305419922,0.0018883704187942125,26,True,,auto,"{'C': 26, 'break_ties': True, 'class_weight': None, 'gamma': 'auto'}",0.03225806451612903,0.33942211665106536,0.3296342573721317,0.3488372093023256,0.7301460438146051,0.35605953833125137,0.22172747657434225,11,0.9670691615059425,0.834404865555095,0.900937462695559,0.8770362737837162,0.8718992204470815,0.8902693967974787,0.043921375807354925
125,0.007006120681762695,0.0003166573355814057,0.006305313110351563,0.0002453595518408479,26,False,,auto,"{'C': 26, 'break_ties': False, 'class_weight': None, 'gamma': 'auto'}",0.03225806451612903,0.33942211665106536,0.3296342573721317,0.3488372093023256,0.7301460438146051,0.35605953833125137,0.22172747657434225,11,0.9670691615059425,0.834404865555095,0.900937462695559,0.8770362737837162,0.8718992204470815,0.8902693967974787,0.043921375807354925
113,0.008006906509399414,0.002075402442547287,0.006705713272094726,0.0009284773194997633,21,True,,auto,"{'C': 21, 'break_ties': True, 'class_weight': None, 'gamma': 'auto'}",0.03225806451612903,0.33942211665106536,0.49813548138671787,0.3488372093023256,0.7301460438146051,0.38975978313416854,0.2278701889070075,1,0.9670691615059425,0.834404865555095,0.8674665452966515,0.8770362737837162,0.8400625389022855,0.8772078770087381,0.04771131391027211
170,0.006605911254882813,0.00020024778587730886,0.006105184555053711,0.0004904659484818143,36,False,,0.001,"{'C': 36, 'break_ties': False, 'class_weight': None, 'gamma': 0.001}",0.03225806451612903,0.33942211665106536,0.49813548138671787,0.3488372093023256,0.7301460438146051,0.38975978313416854,0.2278701889070075,1,0.9670691615059425,0.834404865555095,0.8674665452966515,0.8770362737837162,0.8400625389022855,0.8772078770087381,0.04771131391027211
101,0.013812112808227538,0.008097737076475793,0.0067046165466308595,0.0008731460292132348,21,False,,auto,"{'C': 21, 'break_ties': False, 'class_weight': None, 'gamma': 'auto'}",0.03225806451612903,0.33942211665106536,0.49813548138671787,0.3488372093023256,0.7301460438146051,0.38975978313416854,0.2278701889070075,1,0.9670691615059425,0.834404865555095,0.8674665452966515,0.8770362737837162,0.8400625389022855,0.8772078770087381,0.04771131391027211
182,0.009808635711669922,0.0040607851946107216,0.006305313110351563,0.0002452624612421077,36,True,,0.001,"{'C': 36, 'break_ties': True, 'class_weight': None, 'gamma': 0.001}",0.03225806451612903,0.33942211665106536,0.49813548138671787,0.3488372093023256,0.7301460438146051,0.38975978313416854,0.2278701889070075,1,0.9670691615059425,0.834404865555095,0.8674665452966515,0.8770362737837162,0.8400625389022855,0.8772078770087381,0.04771131391027211
98,0.006605672836303711,0.0003743426016653559,0.00660557746887207,0.0005835681591711103,21,False,,0.001,"{'C': 21, 'break_ties': False, 'class_weight': None, 'gamma': 0.001}",0.1466471150213533,0.33942211665106536,0.0,0.476873817559482,0.7312724241271307,0.3388430946718063,0.2548754722387646,17,0.8359235311216594,0.7685635067075867,0.6253920429404838,0.8152044617150268,0.7088398582741854,0.7507846801517883,0.07641636005984073
110,0.009107685089111328,0.0047304609517497195,0.006205320358276367,0.0004003048653116896,21,True,,0.001,"{'C': 21, 'break_ties': True, 'class_weight': None, 'gamma': 0.001}",0.1466471150213533,0.33942211665106536,0.0,0.476873817559482,0.7312724241271307,0.3388430946718063,0.2548754722387646,17,0.8359235311216594,0.7685635067075867,0.6253920429404838,0.8152044617150268,0.7088398582741854,0.7507846801517883,0.07641636005984073
