<<<<<<< HEAD
,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_break_ties,param_class_weight,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
50,0.0010005950927734375,2.3360154559928684e-07,0.0009008407592773438,0.00020020015895315458,50,False,,0.001,"{'C': 50, 'break_ties': False, 'class_weight': None, 'gamma': 0.001}",0.38052119532359524,0.296078262731896,0.296078262731896,0.4766563309782377,0.5439115309192039,0.3986491165369658,0.09854590419207059,6,0.7160080454940287,0.7674318842952264,0.7359377243223197,0.7843137278833576,0.763555273007683,0.753449331000523,0.024325949454289925
123,0.0011008262634277343,0.0003744062815730096,0.0013011932373046876,0.00024520386388056847,500,False,,0.0001,"{'C': 500, 'break_ties': False, 'class_weight': None, 'gamma': 0.0001}",0.38052119532359524,0.296078262731896,0.296078262731896,0.4766563309782377,0.5439115309192039,0.3986491165369658,0.09854590419207059,6,0.7160080454940287,0.7674318842952264,0.7359377243223197,0.7843137278833576,0.7938975049935895,0.7595177773977044,0.029354909611195603
62,0.001000833511352539,2.78041453115716e-07,0.001501321792602539,2.132480599880018e-07,50,True,,0.001,"{'C': 50, 'break_ties': True, 'class_weight': None, 'gamma': 0.001}",0.38052119532359524,0.296078262731896,0.296078262731896,0.4766563309782377,0.5439115309192039,0.3986491165369658,0.09854590419207059,6,0.7160080454940287,0.7674318842952264,0.7359377243223197,0.7843137278833576,0.763555273007683,0.753449331000523,0.024325949454289925
135,0.0010008811950683594,2.132480599880018e-07,0.0014011383056640625,0.0002001286405081905,500,True,,0.0001,"{'C': 500, 'break_ties': True, 'class_weight': None, 'gamma': 0.0001}",0.38052119532359524,0.296078262731896,0.296078262731896,0.4766563309782377,0.5439115309192039,0.3986491165369658,0.09854590419207059,6,0.7160080454940287,0.7674318842952264,0.7359377243223197,0.7843137278833576,0.7938975049935895,0.7595177773977044,0.029354909611195603
37,0.001000833511352539,1.784161275279017e-07,0.0014011859893798828,0.00020015247525593619,10,True,,0.01,"{'C': 10, 'break_ties': True, 'class_weight': None, 'gamma': 0.01}",0.38052119532359524,0.4345240946267408,0.5690901829794961,0.6097408273199832,0.6650963637241016,0.5317945327947834,0.1073136796993684,1,0.8843686050422063,0.8518593937664486,0.8845757139181563,0.8860190059880055,0.8533738823856406,0.8720393202200916,0.015875969555107578
74,0.0010009765625,0.0003164310782926659,0.0009006023406982422,0.00020008092840246626,100,False,,0.001,"{'C': 100, 'break_ties': False, 'class_weight': None, 'gamma': 0.001}",0.18190171877724975,0.4345240946267408,0.4264014327112209,0.4343722427630694,0.5114564359960938,0.3977311849748749,0.11228006022508422,12,0.912506212744366,0.8518593937664486,0.915272496024578,0.8860190059880055,0.8533738823856406,0.8838061981818077,0.02744244672502441
147,0.0010008811950683594,1.5078914929239175e-07,0.0010007858276367188,1.1680077279964343e-07,1000,False,,0.0001,"{'C': 1000, 'break_ties': False, 'class_weight': None, 'gamma': 0.0001}",0.18190171877724975,0.4345240946267408,0.4264014327112209,0.4343722427630694,0.5114564359960938,0.3977311849748749,0.11228006022508422,12,0.912506212744366,0.8518593937664486,0.915272496024578,0.8860190059880055,0.8533738823856406,0.8838061981818077,0.02744244672502441
86,0.0009007930755615234,0.00020017629580703662,0.001300954818725586,0.0002451064796983492,100,True,,0.001,"{'C': 100, 'break_ties': True, 'class_weight': None, 'gamma': 0.001}",0.18190171877724975,0.4345240946267408,0.4264014327112209,0.46084037168961867,0.5114564359960938,0.40302481076018476,0.11448506416378232,3,0.912506212744366,0.8518593937664486,0.915272496024578,0.8860190059880055,0.8533738823856406,0.8838061981818077,0.02744244672502441
159,0.0010010242462158204,2.86102294921875e-07,0.0013010501861572266,0.0002449897717626652,1000,True,,0.0001,"{'C': 1000, 'break_ties': True, 'class_weight': None, 'gamma': 0.0001}",0.18190171877724975,0.4345240946267408,0.4264014327112209,0.46084037168961867,0.5114564359960938,0.40302481076018476,0.11448506416378232,3,0.912506212744366,0.8518593937664486,0.915272496024578,0.8860190059880055,0.8533738823856406,0.8838061981818077,0.02744244672502441
25,0.001100921630859375,0.00020020010216655938,0.0010006427764892578,2.132480599880018e-07,10,False,,0.01,"{'C': 10, 'break_ties': False, 'class_weight': None, 'gamma': 0.01}",0.38052119532359524,0.4345240946267408,0.4039816339161795,0.6097408273199832,0.6650963637241016,0.4987728229821201,0.1158223935647906,2,0.8843686050422063,0.8518593937664486,0.8845757139181563,0.8860190059880055,0.8533738823856406,0.8720393202200916,0.015875969555107578
=======
,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_break_ties,param_class_weight,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
50,0.0010005950927734375,2.3360154559928684e-07,0.0009008407592773438,0.00020020015895315458,50,False,,0.001,"{'C': 50, 'break_ties': False, 'class_weight': None, 'gamma': 0.001}",0.38052119532359524,0.296078262731896,0.296078262731896,0.4766563309782377,0.5439115309192039,0.3986491165369658,0.09854590419207059,6,0.7160080454940287,0.7674318842952264,0.7359377243223197,0.7843137278833576,0.763555273007683,0.753449331000523,0.024325949454289925
123,0.0011008262634277343,0.0003744062815730096,0.0013011932373046876,0.00024520386388056847,500,False,,0.0001,"{'C': 500, 'break_ties': False, 'class_weight': None, 'gamma': 0.0001}",0.38052119532359524,0.296078262731896,0.296078262731896,0.4766563309782377,0.5439115309192039,0.3986491165369658,0.09854590419207059,6,0.7160080454940287,0.7674318842952264,0.7359377243223197,0.7843137278833576,0.7938975049935895,0.7595177773977044,0.029354909611195603
62,0.001000833511352539,2.78041453115716e-07,0.001501321792602539,2.132480599880018e-07,50,True,,0.001,"{'C': 50, 'break_ties': True, 'class_weight': None, 'gamma': 0.001}",0.38052119532359524,0.296078262731896,0.296078262731896,0.4766563309782377,0.5439115309192039,0.3986491165369658,0.09854590419207059,6,0.7160080454940287,0.7674318842952264,0.7359377243223197,0.7843137278833576,0.763555273007683,0.753449331000523,0.024325949454289925
135,0.0010008811950683594,2.132480599880018e-07,0.0014011383056640625,0.0002001286405081905,500,True,,0.0001,"{'C': 500, 'break_ties': True, 'class_weight': None, 'gamma': 0.0001}",0.38052119532359524,0.296078262731896,0.296078262731896,0.4766563309782377,0.5439115309192039,0.3986491165369658,0.09854590419207059,6,0.7160080454940287,0.7674318842952264,0.7359377243223197,0.7843137278833576,0.7938975049935895,0.7595177773977044,0.029354909611195603
37,0.001000833511352539,1.784161275279017e-07,0.0014011859893798828,0.00020015247525593619,10,True,,0.01,"{'C': 10, 'break_ties': True, 'class_weight': None, 'gamma': 0.01}",0.38052119532359524,0.4345240946267408,0.5690901829794961,0.6097408273199832,0.6650963637241016,0.5317945327947834,0.1073136796993684,1,0.8843686050422063,0.8518593937664486,0.8845757139181563,0.8860190059880055,0.8533738823856406,0.8720393202200916,0.015875969555107578
74,0.0010009765625,0.0003164310782926659,0.0009006023406982422,0.00020008092840246626,100,False,,0.001,"{'C': 100, 'break_ties': False, 'class_weight': None, 'gamma': 0.001}",0.18190171877724975,0.4345240946267408,0.4264014327112209,0.4343722427630694,0.5114564359960938,0.3977311849748749,0.11228006022508422,12,0.912506212744366,0.8518593937664486,0.915272496024578,0.8860190059880055,0.8533738823856406,0.8838061981818077,0.02744244672502441
147,0.0010008811950683594,1.5078914929239175e-07,0.0010007858276367188,1.1680077279964343e-07,1000,False,,0.0001,"{'C': 1000, 'break_ties': False, 'class_weight': None, 'gamma': 0.0001}",0.18190171877724975,0.4345240946267408,0.4264014327112209,0.4343722427630694,0.5114564359960938,0.3977311849748749,0.11228006022508422,12,0.912506212744366,0.8518593937664486,0.915272496024578,0.8860190059880055,0.8533738823856406,0.8838061981818077,0.02744244672502441
86,0.0009007930755615234,0.00020017629580703662,0.001300954818725586,0.0002451064796983492,100,True,,0.001,"{'C': 100, 'break_ties': True, 'class_weight': None, 'gamma': 0.001}",0.18190171877724975,0.4345240946267408,0.4264014327112209,0.46084037168961867,0.5114564359960938,0.40302481076018476,0.11448506416378232,3,0.912506212744366,0.8518593937664486,0.915272496024578,0.8860190059880055,0.8533738823856406,0.8838061981818077,0.02744244672502441
159,0.0010010242462158204,2.86102294921875e-07,0.0013010501861572266,0.0002449897717626652,1000,True,,0.0001,"{'C': 1000, 'break_ties': True, 'class_weight': None, 'gamma': 0.0001}",0.18190171877724975,0.4345240946267408,0.4264014327112209,0.46084037168961867,0.5114564359960938,0.40302481076018476,0.11448506416378232,3,0.912506212744366,0.8518593937664486,0.915272496024578,0.8860190059880055,0.8533738823856406,0.8838061981818077,0.02744244672502441
25,0.001100921630859375,0.00020020010216655938,0.0010006427764892578,2.132480599880018e-07,10,False,,0.01,"{'C': 10, 'break_ties': False, 'class_weight': None, 'gamma': 0.01}",0.38052119532359524,0.4345240946267408,0.4039816339161795,0.6097408273199832,0.6650963637241016,0.4987728229821201,0.1158223935647906,2,0.8843686050422063,0.8518593937664486,0.8845757139181563,0.8860190059880055,0.8533738823856406,0.8720393202200916,0.015875969555107578
>>>>>>> be6abf5f9dff4a981749880811c49232fd04e70f
