2022-09-05 06:45:09,052 | INFO | Threshold of 0.50 provides Large bucket size: 34, Small Bucket size: 30, Extra Bucket size: 9

2022-09-05 06:45:09,062 | INFO | SVC with RBF Kernel Results:

2022-09-05 06:45:13,918 | INFO | Best parameter set: {'C': 66, 'break_ties': True, 'class_weight': 'balanced', 'gamma': 0.0001}
2022-09-05 06:45:13,918 | INFO | -------------------------

2022-09-05 06:45:13,919 | INFO | Train MCC Score: 0.546.  StDev for Train MCC: 0.100.  Test MCC Score: 0.195.  StDev for Test MCC: 0.302.

2022-09-05 06:45:13,937 | INFO | Training Accuracy: 0.586, Training MCC: 0.475, Validation Accuracy: 0.400, Validation MCC: 0.065, Fold: 1
2022-09-05 06:45:13,955 | INFO | Training Accuracy: 0.707, Training MCC: 0.585, Validation Accuracy: 0.467, Validation MCC: 0.273, Fold: 2
2022-09-05 06:45:13,970 | INFO | Training Accuracy: 0.569, Training MCC: 0.452, Validation Accuracy: 0.467, Validation MCC: 0.308, Fold: 3
2022-09-05 06:45:13,986 | INFO | Training Accuracy: 0.655, Training MCC: 0.524, Validation Accuracy: 0.467, Validation MCC: 0.273, Fold: 4
2022-09-05 06:45:13,999 | INFO | Training Accuracy: 0.534, Training MCC: 0.415, Validation Accuracy: 0.400, Validation MCC: 0.095, Fold: 5
2022-09-05 06:45:14,001 | INFO | AVG Training Accuracy: 0.610, AVG Training MCC: 0.490, AVG Validation Accuracy: 0.440, AVG Validation MCC: 0.203

2022-09-05 06:55:59,852 | INFO | SFS only results:

2022-09-05 06:56:00,767 | INFO | Best parameter set: {'C': 61, 'break_ties': True, 'class_weight': 'balanced', 'gamma': 0.0001}
2022-09-05 06:56:00,767 | INFO | -------------------------

2022-09-05 06:56:00,768 | INFO | Train MCC Score: 0.309.  StDev for Train MCC: 0.060.  Test MCC Score: 0.131.  StDev for Test MCC: 0.217.

2022-09-05 06:56:00,774 | INFO | Training Accuracy: 0.431, Training MCC: 0.157, Validation Accuracy: 0.400, Validation MCC: 0.000, Fold: 1
2022-09-05 06:56:00,779 | INFO | Training Accuracy: 0.466, Training MCC: 0.276, Validation Accuracy: 0.400, Validation MCC: 0.000, Fold: 2
2022-09-05 06:56:00,784 | INFO | Training Accuracy: 0.448, Training MCC: 0.224, Validation Accuracy: 0.400, Validation MCC: 0.000, Fold: 3
2022-09-05 06:56:00,789 | INFO | Training Accuracy: 0.431, Training MCC: 0.157, Validation Accuracy: 0.467, Validation MCC: 0.308, Fold: 4
2022-09-05 06:56:00,794 | INFO | Training Accuracy: 0.483, Training MCC: 0.307, Validation Accuracy: 0.400, Validation MCC: 0.000, Fold: 5
2022-09-05 06:56:00,795 | INFO | AVG Training Accuracy: 0.452, AVG Training MCC: 0.224, AVG Validation Accuracy: 0.413, AVG Validation MCC: 0.062

2022-09-05 06:56:00,800 | INFO | Results after PCA:
2022-09-05 06:56:00,800 | INFO | ------------------

2022-09-05 06:56:00,811 | INFO | Selecting 21 principal components making up 75% of the variance.

2022-09-05 06:56:01,539 | INFO | Best parameter set: {'C': 51, 'break_ties': False, 'class_weight': None, 'gamma': 0.1}
2022-09-05 06:56:01,539 | INFO | -------------------------

2022-09-05 06:56:01,540 | INFO | Train MCC Score: 0.955.  StDev for Train MCC: 0.014.  Test MCC Score: 0.132.  StDev for Test MCC: 0.161.

2022-09-05 06:56:01,545 | INFO | Training Accuracy: 0.948, Training MCC: 0.914, Validation Accuracy: 0.667, Validation MCC: 0.446, Fold: 1
2022-09-05 06:56:01,549 | INFO | Training Accuracy: 0.948, Training MCC: 0.914, Validation Accuracy: 0.600, Validation MCC: 0.405, Fold: 2
2022-09-05 06:56:01,554 | INFO | Training Accuracy: 0.983, Training MCC: 0.972, Validation Accuracy: 0.533, Validation MCC: 0.206, Fold: 3
2022-09-05 06:56:01,558 | INFO | Training Accuracy: 0.966, Training MCC: 0.942, Validation Accuracy: 0.533, Validation MCC: 0.235, Fold: 4
2022-09-05 06:56:01,562 | INFO | Training Accuracy: 0.948, Training MCC: 0.914, Validation Accuracy: 0.600, Validation MCC: 0.321, Fold: 5
2022-09-05 06:56:01,563 | INFO | AVG Training Accuracy: 0.959, AVG Training MCC: 0.931, AVG Validation Accuracy: 0.587, AVG Validation MCC: 0.323

2022-09-05 06:56:01,581 | INFO | Selecting 25 principal components making up 80% of the variance.

2022-09-05 06:56:02,329 | INFO | Best parameter set: {'C': 31, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 0.01}
2022-09-05 06:56:02,329 | INFO | -------------------------

