,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_gamma,param_lambda,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
10812,0.004185771942138672,0.00010310368381237824,0.000782918930053711,3.353097739820167e-05,0.4,0,5,2,7,0.5,"{'alpha': 0.4, 'gamma': 0, 'lambda': 5, 'max_depth': 2, 'n_estimators': 7, 'subsample': 0.5}",0.25347238853226545,0.24618298195866545,0.3207514512928874,0.274981157418816,0.3687409228350686,0.2928257804075406,0.04601222144828404,469,0.9109307394607866,0.9109609148453565,0.7581889357993701,0.887367217244174,0.7720303204935314,0.8478956255686437,0.06828103330772206
10380,0.0041316509246826175,3.305227985260744e-05,0.0007603168487548828,1.3299397810701438e-05,0.4,0,1,2,7,0.5,"{'alpha': 0.4, 'gamma': 0, 'lambda': 1, 'max_depth': 2, 'n_estimators': 7, 'subsample': 0.5}",0.25347238853226545,0.24618298195866545,0.3207514512928874,0.274981157418816,0.3687409228350686,0.2928257804075406,0.04601222144828404,469,0.9109307394607866,0.9109609148453565,0.7581889357993701,0.887367217244174,0.7720303204935314,0.8478956255686437,0.06828103330772206
876,0.0054056644439697266,0.0015389782656026973,0.0012145519256591796,0.0008345900905078505,0.0,0,9,2,7,0.5,"{'alpha': 0.0, 'gamma': 0, 'lambda': 9, 'max_depth': 2, 'n_estimators': 7, 'subsample': 0.5}",0.25347238853226545,0.24618298195866545,0.3207514512928874,0.274981157418816,0.3687409228350686,0.2928257804075406,0.04601222144828404,469,0.9109307394607866,0.9109609148453565,0.7581889357993701,0.887367217244174,0.7720303204935314,0.8478956255686437,0.06828103330772206
444,0.004186248779296875,3.9569038041410896e-05,0.0007885932922363281,6.251115089459948e-06,0.0,0,5,2,7,0.5,"{'alpha': 0.0, 'gamma': 0, 'lambda': 5, 'max_depth': 2, 'n_estimators': 7, 'subsample': 0.5}",0.25347238853226545,0.24618298195866545,0.3207514512928874,0.274981157418816,0.3687409228350686,0.2928257804075406,0.04601222144828404,469,0.9109307394607866,0.9109609148453565,0.7581889357993701,0.887367217244174,0.7720303204935314,0.8478956255686437,0.06828103330772206
6060,0.005308866500854492,0.002239041426318878,0.0007985591888427735,5.1840248114633085e-05,0.2,0,9,2,7,0.5,"{'alpha': 0.2, 'gamma': 0, 'lambda': 9, 'max_depth': 2, 'n_estimators': 7, 'subsample': 0.5}",0.25347238853226545,0.24618298195866545,0.3207514512928874,0.274981157418816,0.3687409228350686,0.2928257804075406,0.04601222144828404,469,0.9109307394607866,0.9109609148453565,0.7581889357993701,0.887367217244174,0.7720303204935314,0.8478956255686437,0.06828103330772206
25932,0.005487394332885742,0.0025945201657734253,0.0007946968078613281,3.9497374843533306e-05,1.0,0,1,2,7,0.5,"{'alpha': 1.0, 'gamma': 0, 'lambda': 1, 'max_depth': 2, 'n_estimators': 7, 'subsample': 0.5}",0.25347238853226545,0.24618298195866545,0.3207514512928874,0.274981157418816,0.3687409228350686,0.2928257804075406,0.04601222144828404,469,0.9109307394607866,0.9109609148453565,0.7581889357993701,0.887367217244174,0.7720303204935314,0.8478956255686437,0.06828103330772206
21180,0.007869100570678711,0.007190714009870414,0.0011340141296386718,0.0006845699604466906,0.8,0,5,2,7,0.5,"{'alpha': 0.8, 'gamma': 0, 'lambda': 5, 'max_depth': 2, 'n_estimators': 7, 'subsample': 0.5}",0.25347238853226545,0.24618298195866545,0.3207514512928874,0.274981157418816,0.3687409228350686,0.2928257804075406,0.04601222144828404,469,0.9109307394607866,0.9109609148453565,0.7581889357993701,0.887367217244174,0.7720303204935314,0.8478956255686437,0.06828103330772206
21612,0.004135322570800781,1.3854068513929398e-05,0.0007596015930175781,9.493730823322156e-06,0.8,0,9,2,7,0.5,"{'alpha': 0.8, 'gamma': 0, 'lambda': 9, 'max_depth': 2, 'n_estimators': 7, 'subsample': 0.5}",0.25347238853226545,0.24618298195866545,0.3207514512928874,0.274981157418816,0.3687409228350686,0.2928257804075406,0.04601222144828404,469,0.9109307394607866,0.9109609148453565,0.7581889357993701,0.887367217244174,0.7720303204935314,0.8478956255686437,0.06828103330772206
26364,0.006055259704589843,0.0023695165567423817,0.0008217811584472657,6.013848612922187e-05,1.0,0,5,2,7,0.5,"{'alpha': 1.0, 'gamma': 0, 'lambda': 5, 'max_depth': 2, 'n_estimators': 7, 'subsample': 0.5}",0.25347238853226545,0.24618298195866545,0.3207514512928874,0.274981157418816,0.3687409228350686,0.2928257804075406,0.04601222144828404,469,0.9109307394607866,0.9109609148453565,0.7581889357993701,0.887367217244174,0.7720303204935314,0.8478956255686437,0.06828103330772206
15564,0.00416417121887207,5.087997716888183e-05,0.0007701873779296875,1.1430772341806469e-05,0.6000000000000001,0,1,2,7,0.5,"{'alpha': 0.6000000000000001, 'gamma': 0, 'lambda': 1, 'max_depth': 2, 'n_estimators': 7, 'subsample': 0.5}",0.25347238853226545,0.24618298195866545,0.3207514512928874,0.274981157418816,0.3687409228350686,0.2928257804075406,0.04601222144828404,469,0.9109307394607866,0.9109609148453565,0.7581889357993701,0.887367217244174,0.7720303204935314,0.8478956255686437,0.06828103330772206
15996,0.005584621429443359,0.0022489134774854283,0.0008221626281738281,3.7280798957839234e-05,0.6000000000000001,0,5,2,7,0.5,"{'alpha': 0.6000000000000001, 'gamma': 0, 'lambda': 5, 'max_depth': 2, 'n_estimators': 7, 'subsample': 0.5}",0.25347238853226545,0.24618298195866545,0.3207514512928874,0.274981157418816,0.3687409228350686,0.2928257804075406,0.04601222144828404,469,0.9109307394607866,0.9109609148453565,0.7581889357993701,0.887367217244174,0.7720303204935314,0.8478956255686437,0.06828103330772206
5196,0.004808235168457031,0.0012561630557205974,0.0007863998413085938,4.606098859787728e-05,0.2,0,1,2,7,0.5,"{'alpha': 0.2, 'gamma': 0, 'lambda': 1, 'max_depth': 2, 'n_estimators': 7, 'subsample': 0.5}",0.25347238853226545,0.24618298195866545,0.3207514512928874,0.274981157418816,0.3687409228350686,0.2928257804075406,0.04601222144828404,469,0.9109307394607866,0.9109609148453565,0.7581889357993701,0.887367217244174,0.7720303204935314,0.8478956255686437,0.06828103330772206
