,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_gamma,param_lambda,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
23420,0.03268284797668457,0.002360612364638772,0.0009335517883300781,2.45052549316693e-05,0.8,2,1,3,23,0.5,"{'alpha': 0.8, 'gamma': 2, 'lambda': 1, 'max_depth': 3, 'n_estimators': 23, 'subsample': 0.5}",0.49813548138671787,0.49813548138671787,0.49493401319706737,0.46456538905166156,0.575649675601062,0.5062840081246454,0.036915195685947574,1747,0.8674665452966515,0.7320364416587307,0.7332395322404621,0.7453946178491887,0.7416879357027342,0.7639650145495535,0.051994583895862964
8156,0.034417343139648435,0.004129481139899137,0.0012624263763427734,0.0007134302049014556,0.2,2,1,9,23,0.5,"{'alpha': 0.2, 'gamma': 2, 'lambda': 1, 'max_depth': 9, 'n_estimators': 23, 'subsample': 0.5}",0.49813548138671787,0.49813548138671787,0.49493401319706737,0.46456538905166156,0.575649675601062,0.5062840081246454,0.036915195685947574,1747,0.8674665452966515,0.7320364416587307,0.7332395322404621,0.7453946178491887,0.7416879357027342,0.7639650145495535,0.051994583895862964
29132,0.03459949493408203,0.005060345382492623,0.0009544849395751953,6.519195835634363e-05,1.0,2,5,5,23,0.5,"{'alpha': 1.0, 'gamma': 2, 'lambda': 5, 'max_depth': 5, 'n_estimators': 23, 'subsample': 0.5}",0.49813548138671787,0.49813548138671787,0.49493401319706737,0.46456538905166156,0.575649675601062,0.5062840081246454,0.036915195685947574,1747,0.8674665452966515,0.7320364416587307,0.7332395322404621,0.7453946178491887,0.7416879357027342,0.7639650145495535,0.051994583895862964
24188,0.03682236671447754,0.0008776359911359625,0.0009466171264648438,1.121388803852767e-05,0.8,2,5,10,23,0.5,"{'alpha': 0.8, 'gamma': 2, 'lambda': 5, 'max_depth': 10, 'n_estimators': 23, 'subsample': 0.5}",0.49813548138671787,0.49813548138671787,0.49493401319706737,0.46456538905166156,0.575649675601062,0.5062840081246454,0.036915195685947574,1747,0.8674665452966515,0.7320364416587307,0.7332395322404621,0.7453946178491887,0.7416879357027342,0.7639650145495535,0.051994583895862964
18764,0.0325472354888916,0.0015723828459135094,0.0012499332427978516,0.0006114377400400931,0.6000000000000001,2,5,5,23,0.5,"{'alpha': 0.6000000000000001, 'gamma': 2, 'lambda': 5, 'max_depth': 5, 'n_estimators': 23, 'subsample': 0.5}",0.49813548138671787,0.49813548138671787,0.49493401319706737,0.46456538905166156,0.575649675601062,0.5062840081246454,0.036915195685947574,1747,0.8674665452966515,0.7320364416587307,0.7332395322404621,0.7453946178491887,0.7416879357027342,0.7639650145495535,0.051994583895862964
13916,0.03183999061584473,0.0022555952623403907,0.0009140491485595704,3.549904528795166e-05,0.4,2,9,3,23,0.5,"{'alpha': 0.4, 'gamma': 2, 'lambda': 9, 'max_depth': 3, 'n_estimators': 23, 'subsample': 0.5}",0.49813548138671787,0.49813548138671787,0.49493401319706737,0.46456538905166156,0.575649675601062,0.5062840081246454,0.036915195685947574,1747,0.8674665452966515,0.7320364416587307,0.7332395322404621,0.7453946178491887,0.7416879357027342,0.7639650145495535,0.051994583895862964
8108,0.03680119514465332,0.002875659492553446,0.0009424209594726563,2.7524038707805552e-05,0.2,2,1,8,23,0.5,"{'alpha': 0.2, 'gamma': 2, 'lambda': 1, 'max_depth': 8, 'n_estimators': 23, 'subsample': 0.5}",0.49813548138671787,0.49813548138671787,0.49493401319706737,0.46456538905166156,0.575649675601062,0.5062840081246454,0.036915195685947574,1747,0.8674665452966515,0.7320364416587307,0.7332395322404621,0.7453946178491887,0.7416879357027342,0.7639650145495535,0.051994583895862964
8204,0.03509960174560547,0.0008008615938938071,0.0009317874908447265,1.697861716023856e-05,0.2,2,1,10,23,0.5,"{'alpha': 0.2, 'gamma': 2, 'lambda': 1, 'max_depth': 10, 'n_estimators': 23, 'subsample': 0.5}",0.49813548138671787,0.49813548138671787,0.49493401319706737,0.46456538905166156,0.575649675601062,0.5062840081246454,0.036915195685947574,1747,0.8674665452966515,0.7320364416587307,0.7332395322404621,0.7453946178491887,0.7416879357027342,0.7639650145495535,0.051994583895862964
18812,0.03462533950805664,0.002731771053633433,0.0009316444396972656,8.094442433900049e-06,0.6000000000000001,2,5,6,23,0.5,"{'alpha': 0.6000000000000001, 'gamma': 2, 'lambda': 5, 'max_depth': 6, 'n_estimators': 23, 'subsample': 0.5}",0.49813548138671787,0.49813548138671787,0.49493401319706737,0.46456538905166156,0.575649675601062,0.5062840081246454,0.036915195685947574,1747,0.8674665452966515,0.7320364416587307,0.7332395322404621,0.7453946178491887,0.7416879357027342,0.7639650145495535,0.051994583895862964
8060,0.033857202529907225,0.0023473888802250024,0.0009096145629882812,2.8567043135059007e-05,0.2,2,1,7,23,0.5,"{'alpha': 0.2, 'gamma': 2, 'lambda': 1, 'max_depth': 7, 'n_estimators': 23, 'subsample': 0.5}",0.49813548138671787,0.49813548138671787,0.49493401319706737,0.46456538905166156,0.575649675601062,0.5062840081246454,0.036915195685947574,1747,0.8674665452966515,0.7320364416587307,0.7332395322404621,0.7453946178491887,0.7416879357027342,0.7639650145495535,0.051994583895862964
